Taxon	Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	TAXON_VERSION_KEY	RECOMMENDED_TAXON_VERSION_KEY	NAME_STATUS	MATCHED_ON
Eudorylas subterminalis	2804	Eudorylas subterminalis		Pipunculidae	Diptera	1				parasitoid	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Cicadellidae	Eudorylas		subterminalis		NBNSYS0000028879	NBNSYS0000028879	R	Taxon
Eudorylas terminalis	6012	Eudorylas terminalis		Pipunculidae	Diptera	4	(LR); NS	Nationally Scarce; [Threat]	GB Rarity listing (1); [IUCN Threat listing] (1)	parasitoid	phytosaprophagous	open habitats						Eudorylas		terminalis		NBNSYS0000028880	NBNSYS0000028880	R	Taxon
Eudorylas unicolor	2805	Eudorylas unicolor		Pipunculidae	Diptera	8	NR; NT	Nationally Rare; NT	GB Rarity listing (1); IUCN Threat listing (1)	parasitoid	nectivore	open habitats	tall sward & scrub	habitats >> unknown, soil humidity >> dry	F001		Cicadellidae	Eudorylas		unicolor		NBNSYS0000028881	NBNSYS0000028881	R	Taxon
Eudorylas zermattensis	2806	Eudorylas zermattensis		Pipunculidae	Diptera	4	(LR); NS	Nationally Scarce; [Threat]	GB Rarity listing (1); [IUCN Threat listing] (1)	parasitoid	nectivore	open habitats	short sward & bare ground	soil humidity >> dry	F111		Cicadellidae	Eudorylas		zermattensis		NBNSYS0000028882	NBNSYS0000028882	R	Taxon
Eudorylas zonatus	6013	Eudorylas zonatus		Pipunculidae	Diptera	1				parasitoid	phytosaprophagous	open habitats						Eudorylas		zonatus		NBNSYS0000028883	NBNSYS0000028883	R	Taxon
Eudorylas zonellus	6014	Eudorylas zonellus		Pipunculidae	Diptera	1				parasitoid	phytosaprophagous	open habitats						Eudorylas		zonellus		NBNSYS0000028884	NBNSYS0000028884	R	Taxon
Eudryas staejohannis	4875	Eudryas staejohannis		Noctuidae	Lepidoptera	1				herbivore	nectivore							Eudryas		staejohannis		NHMSYS0000502564	NHMSYS0000502564	R	Taxon
Euglenes oculatus	9736	Euglenes oculatus		Aderidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	xylophagous	unknown	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, decaying wood >> red rot	A211	IEC: 1, IEC (older version): 1	Quercus	Euglenes		oculatus		NHMSYS0020152143	NHMSYS0020152143	R	Taxon
Euglesa conventus	12801	Euglesa conventus		Sphaeriidae	Veneroida	8	NR; VU	Nationally Rare; VU	GB Rarity listing (1); IUCN Threat listing (1)									Euglesa		conventus		NHMSYS0021342644	NHMSYS0021342644	R	Taxon
Euglesa lilljeborgii	12802	Euglesa lilljeborgii		Sphaeriidae	Veneroida	1		LC	IUCN Threat listing (1)									Euglesa		lilljeborgii		NHMSYS0021342659	NHMSYS0021342659	R	Taxon
Euglesa pseudosphaerium	12803	Euglesa pseudosphaerium		Sphaeriidae	Veneroida	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)									Euglesa		pseudosphaerium		NHMSYS0021342684	NHMSYS0021342684	R	Taxon
Euglesa pulchella	12804	Euglesa pulchella		Sphaeriidae	Veneroida	1		LC	IUCN Threat listing (1)									Euglesa		pulchella		NHMSYS0021342689	NHMSYS0021342689	R	Taxon
Eugnorisma depuncta	4876	Eugnorisma depuncta	Plain Clay	Noctuidae	Lepidoptera	4				herbivore	nectivore	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, shadiness >> light shade, woodland habitat >> undergrowth			Asteraceae, Plantae	Eugnorisma		depuncta		NBNSYS0000006189	NBNSYS0000006189	R	Taxon
Eugnorisma glareosa	4877	Eugnorisma glareosa	Autumnal Rustic	Noctuidae	Lepidoptera	1	NT; Section 41 Priority Species - research only	NT; S41. Priority Species - research only	IUCN Threat listing (1); Legal listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	base status >> acidic, habitats >> sward/field layer, soil humidity >> variable humidity, soil type >> calcareous substrates			Asteraceae	Eugnorisma		glareosa		NHMSYS0000502566	NHMSYS0000502566	R	Taxon
Euheptaulacus sus	103	Euheptaulacus sus		Scarabaeidae	Coleoptera	8	NR; VU	Nationally Rare; VU	GB Rarity listing (1); IUCN Threat listing (1)	coprophagous	does not feed	open habitats	short sward & bare ground	dung & carrion >> dung, soil humidity >> dry			Mammalia	Euheptaulacus		sus		NBNSYS0000011509	NBNSYS0000011509	R	Taxon
Euheptaulacus villosus	9076	Euheptaulacus villosus		Scarabaeidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	saprophagous	saprophagous	open habitats	short sward & bare ground	dung & carrion, habitats >> exposed sand, soil humidity >> dry, soil type >> sand	F111	calcareous grassland: Moderate		Euheptaulacus		villosus		NHMSYS0001718137	NHMSYS0001718137	R	Taxon
Euhyponomeuta stannella	5686	Euhyponomeuta stannella	Orpine Ermel	Yponomeutidae	Lepidoptera	16	pRDB 1	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore						Sedum telephium	Euhyponomeuta		stannella		NHMSYS0021142461	NHMSYS0021142461	R	Taxon
Euides basilinea	2098	Euides basilinea		Delphacidae	Hemiptera	1				herbivore	herbivore	wetland		wetland vegetation			Phragmites australis	Euides		basilinea		NHMSYS0020977611	NHMSYS0020977611	R	Taxon
Eulagius filicornis	837	Eulagius filicornis		Mycetophagidae	Coleoptera		DD (European)	DD (European)	IUCN Threat listing (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, dead trunks & branches >> freshly dead, fungal fruiting bodies	A213		Quercus	Eulagius		filicornis		NHMSYS0020152146	NHMSYS0020152146	R	Taxon
Euleia heraclei	3208	Euleia heraclei		Tephritidae	Diptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp			Apiaceae	Euleia		heraclei		NBNSYS0000012861	NBNSYS0000012861	R	Taxon
Eulia ministrana	5552	Eulia ministrana	Brassy Twist	Tortricidae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> understorey, conifer or broadleaved >> broadleaved only			Asteraceae	Eulia		ministrana		NHMSYS0000502580	NHMSYS0000502580	R	Taxon
Eulithis mellinata	4333	Eulithis mellinata	Spinach	Geometridae	Lepidoptera	1	Section 41 Priority Species - research only; VU	S41. Priority Species - research only; VU	IUCN Threat listing (1); Legal listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp			Ribes	Eulithis		mellinata		NBNSYS0000005837	NBNSYS0000005837	R	Taxon
Eulithis populata	12393	Eulithis populata	Northern Spinach	Geometridae	Lepidoptera	1		LC	IUCN Threat listing (1)			open habitats			F003			Eulithis		populata		NBNSYS0000005836	NBNSYS0000005836	R	Taxon
Eulithis prunata	4334	Eulithis prunata	Phoenix	Geometridae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp			Ribes	Eulithis		prunata		NBNSYS0000005834	NBNSYS0000005834	R	Taxon
Eulithis testata	4335	Eulithis testata	Chevron	Geometridae	Lepidoptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Salix	Eulithis		testata		NBNSYS0000005835	NBNSYS0000005835	R	Taxon
Eumenes coarctatus	12284	Eumenes coarctatus	Heath Potter Wasp	Vespidae	Hymenoptera	4	[Na]	[Scarce]	[GB Rarity listing] (1)	parasitoid		open habitats	tall sward & scrub	base status >> acidic, habitats >> scrub, soil humidity >> dry	F003	acid mire: C	Calluna	Eumenes		coarctatus		NHMSYS0000875934	NHMSYS0000875934	R	Taxon
Eumerus funeralis	2986	Eumerus funeralis		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp			Narcissus	Eumerus		funeralis		NBNSYS0100027571	NBNSYS0100027571	R	Taxon
Eumerus ornatus	2987	Eumerus ornatus		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat			Asteraceae, Plantae	Eumerus		ornatus		NBNSYS0000007065	NBNSYS0000007065	R	Taxon
Eumerus sabulonum	2988	Eumerus sabulonum		Syrphidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	herbivore	nectivore	open habitats	short sward & bare ground; tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Jasione montana	Eumerus		sabulonum		NBNSYS0000007066	NBNSYS0000007066	R	Taxon
Eumerus strigatus	2989	Eumerus strigatus	Lesser Bulb-Fly	Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> damp			Allium, Liliaceae	Eumerus		strigatus		NBNSYS0000007067	NBNSYS0000007067	R	Taxon
Euodynerus quadrifasciatus	3641	Euodynerus quadrifasciatus		Vespidae	Hymenoptera	16	RDB 2	[Threat]	[IUCN Threat listing] (1)	parasitoid	nectivore	coastal; open habitats	sea cliff; short sward & bare ground	habitats >> sward/field layer, soil humidity >> dry	F111, F113	soft rock cliff: 2		Euodynerus		quadrifasciatus		NBNSYS0000009439	NHMSYS0000875939	R	Taxon
Euophrys frontalis	6756	Euophrys frontalis		Salticidae	Araneae	1		LC	IUCN Threat listing (1)	predator	predator	open habitats	tall sward & scrub	habitats >> litter & ground layer, soil humidity >> dry			Arthropoda	Euophrys		frontalis		NBNSYS0000008771	NBNSYS0000008771	R	Taxon
Euophrys herbigrada	6757	Euophrys herbigrada		Salticidae	Araneae	8	NR; VU	Nationally Rare; VU	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats	tall sward & scrub	habitats >> litter & ground layer, soil humidity >> dry			Arthropoda	Euophrys		herbigrada		NBNSYS0000008772	NBNSYS0000008772	R	Taxon
Euophrys petrensis	10038	Euophrys petrensis		Salticidae	Araneae	8	NR; NT	Nationally Rare; NT	GB Rarity listing (1); IUCN Threat listing (1)			open habitats			F003			Euophrys		petrensis		NBNSYS0000008773	NBNSYS0000008773	R	Taxon
Euophryum confine	9757	Euophryum confine		Curculionidae	Coleoptera	1				saprophagous	unknown	tree-associated	decaying wood	conifer or broadleaved, heartrot >> decaying wood			Fagales	Euophryum		confine		NBNSYS0000025263	NBNSYS0000025263	R	Taxon
Euorodalus coenosus	104	Euorodalus coenosus		Scarabaeidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung				Euorodalus		coenosus		NHMSYS0021442480	NHMSYS0021442480	R	Taxon
Eupachygaster tarsalis	6059	Eupachygaster tarsalis	Scarce Black	Stratiomyidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	saprophagous	phytosaprophagous	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, wet hollows >> rot holes	A212		Fagus, Fraxinus	Eupachygaster		tarsalis		NBNSYS0000007824	NBNSYS0000007824	R	Taxon
Eupelix cuspidata	1891	Eupelix cuspidata		Cicadellidae	Hemiptera	1				herbivore	herbivore	open habitats	short sward & bare ground	habitats >> sward/field layer, soil humidity >> dry			Asteraceae	Eupelix		cuspidata		NHMSYS0020705558	NHMSYS0020705558	R	Taxon
Eupeodes bucculatus	2990	Eupeodes bucculatus		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Aphididae	Eupeodes		bucculatus		NBNSYS0100027420	NBNSYS0100027420	R	Taxon
Eupeodes corollae	2991	Eupeodes corollae		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Aphididae	Eupeodes		corollae		NBNSYS0000006937	NBNSYS0000006937	R	Taxon
Eupeodes latifasciatus	2992	Eupeodes latifasciatus		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub	habitats >> litter & ground layer, habitats >> soil & roots, soil humidity >> damp			Aphididae	Eupeodes		latifasciatus		NBNSYS0100003109	NBNSYS0100003109	R	Taxon
Eupeodes lundbecki	2993	Eupeodes lundbecki		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Aphididae	Eupeodes		lundbecki		NBNSYS0100003111	NBNSYS0100003111	R	Taxon
Eupeodes luniger	2994	Eupeodes luniger		Syrphidae	Diptera	1		LC	IUCN Threat listing (1)	predator	nectivore	open habitats	short sward & bare ground; tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Aphididae	Eupeodes		luniger		NBNSYS0000006941	NBNSYS0000006941	R	Taxon
Eupeodes nielseni	2995	Eupeodes nielseni		Syrphidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> conifer only, flowers (adult)			Aphididae, Pinus	Eupeodes		nielseni		NBNSYS0100003112	NBNSYS0100003112	R	Taxon
Eupeodes nitens	2996	Eupeodes nitens		Syrphidae	Diptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	herbivore;predator	nectivore	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> damp, humidity >> dry, shadiness >> light shade, woodland habitat >> undergrowth			Aphididae, Cirsium, Plantae	Eupeodes		nitens		NBNSYS0100003113	NBNSYS0100003113	R	Taxon
Euphranta toxoneura	3209	Euphranta toxoneura		Tephritidae	Diptera	4	[Notable]	[Scarce]	[GB Rarity listing] (1)	predator	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only, flowers (adult)			Pontania, Salix	Euphranta		toxoneura		NBNSYS0000012862	NBNSYS0000012862	R	Taxon
Euphydryas aurinia	5117	Euphydryas aurinia	Marsh Fritillary	Nymphalidae	Lepidoptera	1	Legal Protection; Section 41 Priority Species; VU	Legal protection; S41. Priority Species; VU	IUCN Threat listing (1); Legal listing (2)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Knautia arvensis, Scabiosa columbaria, Succisa pratensis	Euphydryas		aurinia		NBNSYS0000162770	NHMSYS0000516340	R	Taxon
Euphyia biangulata	4336	Euphyia biangulata	Cloaked Carpet	Geometridae	Lepidoptera	4				herbivore	nectivore	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat >> undergrowth			Plantae, Stellaria, Stellaria media	Euphyia		biangulata		NBNSYS0000005873	NBNSYS0000005873	R	Taxon
Euphyia unangulata	4337	Euphyia unangulata	Sharp-angled Carpet	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat >> undergrowth			Plantae, Stellaria, Stellaria media	Euphyia		unangulata		NBNSYS0000005874	NBNSYS0000005874	R	Taxon
Euphylidorea aperta	239	Euphylidorea aperta		Limoniidae	Diptera	1				saprophagous	does not feed	tree-associated; wetland	running water; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, drawdown zone: mud/shallow litter, humidity >> wet, seepages >> neutral/acid seepage, seepages >> unshaded seepage, shadiness >> heavy shade, woodland stream			Plantae	Euphylidorea		aperta		NBNSYS0100003140	NBNSYS0100003140	R	Taxon
Euphylidorea dispar	240	Euphylidorea dispar		Limoniidae	Diptera	1				saprophagous	does not feed	tree-associated; wetland	acid & sedge peats; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, humidity >> wet, shadiness >> heavy shade, wetland vegetation			Fagales	Euphylidorea		dispar		NBNSYS0100003141	NBNSYS0100003141	R	Taxon
Euphylidorea lineola	241	Euphylidorea lineola		Limoniidae	Diptera	1				saprophagous	does not feed	wetland	acid & sedge peats	base status >> acid, wetland vegetation		coarse woody debris: d		Euphylidorea		lineola		NBNSYS0100003142	NBNSYS0100003142	R	Taxon
Euphylidorea meigenii	242	Euphylidorea meigenii		Limoniidae	Diptera	1				saprophagous	does not feed	wetland	acid & sedge peats	base status >> acid, sphagnum/moss lawn, wet/damp peat	W312	acid mire: B		Euphylidorea		meigenii		NBNSYS0100003143	NBNSYS0100003143	R	Taxon
Euphylidorea phaeostigma	243	Euphylidorea phaeostigma		Limoniidae	Diptera	1				saprophagous	does not feed	wetland	acid & sedge peats	base status >> acid, sphagnum/moss lawn, wet/damp peat	W312			Euphylidorea		phaeostigma		NBNSYS0100003144	NBNSYS0100003144	R	Taxon
Eupithecia abbreviata	4338	Eupithecia abbreviata	Brindled Pug	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Crataegus monogyna, Quercus	Eupithecia		abbreviata		NBNSYS0000005940	NBNSYS0000005940	R	Taxon
Eupithecia abietaria	4339	Eupithecia abietaria	Cloaked Pug	Geometridae	Lepidoptera	8	[RDB 3]	[Threat]	[IUCN Threat listing] (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> mature tree canopy, conifer or broadleaved >> conifer only			Picea abies	Eupithecia		abietaria		NBNSYS0000005897	NBNSYS0000005897	R	Taxon
Eupithecia absinthiata	4340	Eupithecia absinthiata	Wormwood Pug	Geometridae	Lepidoptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	base status >> variable base status, habitats >> sward/field layer, soil humidity >> variable humidity			Achillea millefolium, Calluna, Erica, Jacobaea vulgaris	Eupithecia		absinthiata		NBNSYS0000005918	NBNSYS0000005918	R	Taxon
Eupithecia assimilata	4341	Eupithecia assimilata	Currant Pug	Geometridae	Lepidoptera	1				herbivore	nectivore						Humulus, Ribes	Eupithecia		assimilata		NBNSYS0000005920	NBNSYS0000005920	R	Taxon
Eupithecia cauchiata	4342	Eupithecia cauchiata	Doubleday's Pug	Geometridae	Lepidoptera	1				herbivore	nectivore							Eupithecia		cauchiata		NBNSYS0000005917	NBNSYS0000005917	R	Taxon
Eupithecia centaureata	4343	Eupithecia centaureata	Lime-speck Pug	Geometridae	Lepidoptera	1				herbivore	nectivore	open habitats	short sward & bare ground	habitats >> sward/field layer, soil humidity >> dry			Asteraceae	Eupithecia		centaureata		NHMSYS0021144104	NHMSYS0021144104	R	Taxon
Eupithecia denotata	4344	Eupithecia denotata		Geometridae	Lepidoptera	4				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry	F001		Campanula	Eupithecia		denotata		NHMSYS0000520028	NHMSYS0000520028	R	Taxon
Eupithecia denotata denotata	12394	Eupithecia denotata denotata	Campanula Pug	Geometridae	Lepidoptera	4												Eupithecia		denotata	denotata	NHMSYS0021144126	NHMSYS0021144126	R	Taxon
Eupithecia denotata jasioneata	12395	Eupithecia denotata subsp. jasioneata	Jasione Pug	Geometridae	Lepidoptera	4												Eupithecia		denotata	jasioneata	NBNSYS0000033117	NBNSYS0000033117	R	original_taxon
Eupithecia distinctaria	4345	Eupithecia distinctaria	Thyme Pug	Geometridae	Lepidoptera	4				herbivore	nectivore	open habitats	short sward & bare ground	habitats >> sward/field layer, soil humidity >> dry	F111		Thymus	Eupithecia		distinctaria		NBNSYS0000100057	NHMSYS0000520033	R	Taxon
Eupithecia dodoneata	4346	Eupithecia dodoneata	Oak-tree Pug	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Crataegus monogyna, Quercus	Eupithecia		dodoneata		NHMSYS0021144087	NHMSYS0021144087	R	Taxon
Eupithecia egenaria	4347	Eupithecia egenaria	Fletcher's Pug	Geometridae	Lepidoptera	4	RDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> mature tree canopy, conifer or broadleaved >> broadleaved only, flowers (adult), inflorescence >> flowers, buds & shoots			Tilia	Eupithecia		egenaria		NBNSYS0000005908	NHMSYS0000502597	R	Taxon
Eupithecia exiguata	4348	Eupithecia exiguata	Mottled Pug	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Betula, Crataegus monogyna, Prunus spinosa	Eupithecia		exiguata		NHMSYS0021144124	NHMSYS0021144124	R	Taxon
Eupithecia expallidata	4349	Eupithecia expallidata	Bleached Pug	Geometridae	Lepidoptera	4				herbivore	nectivore	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat >> undergrowth			Plantae, Solidago	Eupithecia		expallidata		NBNSYS0000005921	NBNSYS0000005921	R	Taxon
Eupithecia extensaria	4350	Eupithecia extensaria	Scarce Pug	Geometridae	Lepidoptera	16	RDB 3; Section 41 Priority Species	[Rare]; S41. Priority Species	Legal listing (1); [GB Rarity listing] (1)	herbivore	nectivore	coastal	saltmarsh		M311			Eupithecia		extensaria		NBNSYS0000100177	NHMSYS0000520043	R	Taxon
Eupithecia haworthiata	4351	Eupithecia haworthiata	Haworth's Pug	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, flowers (adult), inflorescence >> flowers, buds & shoots			Clematis vitalba	Eupithecia		haworthiata		NBNSYS0000005895	NHMSYS0000502600	R	Taxon
Eupithecia icterata	4352	Eupithecia icterata	Tawny Speckled Pug	Geometridae	Lepidoptera	1				herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer			Achillea millefolium, Achillea ptarmica	Eupithecia		icterata		NBNSYS0000005926	NBNSYS0000005926	R	Taxon
Eupithecia indigata	4353	Eupithecia indigata	Ochreous Pug	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy >> mature tree canopy, conifer or broadleaved >> conifer only, leaves and/or stems >> young leaves/ shoots			Pinus	Eupithecia		indigata		NHMSYS0021144101	NHMSYS0021144101	R	Taxon
Eupithecia innotata fraxinata	4354	Eupithecia innotata form fraxinata	Ash Pug	Geometridae	Lepidoptera	1				herbivore	nectivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Fraxinus	Eupithecia		innotata	fraxinata	NHMSYS0000502603	NHMSYS0000502603	R	original_taxon
Eupithecia insigniata	4356	Eupithecia insigniata	Pinion-spotted Pug	Geometridae	Lepidoptera	4				herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only			Crataegus	Eupithecia		insigniata		NBNSYS0000005902	NHMSYS0000502605	R	Taxon
Eupithecia intricata	4357	Eupithecia intricata		Geometridae	Lepidoptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> conifer only			Juniperus communis	Eupithecia		intricata		NBNSYS0000005912	NBNSYS0000005912	R	Taxon
Eupithecia inturbata	4358	Eupithecia inturbata	Maple Pug	Geometridae	Lepidoptera	1	EN	EN	IUCN Threat listing (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, flowers (adult)			Acer campestre	Eupithecia		inturbata		NHMSYS0021144075	NHMSYS0021144075	R	Taxon
Eupithecia irriguata	4359	Eupithecia irriguata	Marbled Pug	Geometridae	Lepidoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> mature tree canopy, conifer or broadleaved >> broadleaved only			Quercus	Eupithecia		irriguata		NHMSYS0021144100	NHMSYS0021144100	R	Taxon
Eupithecia lariciata	4360	Eupithecia lariciata	Larch Pug	Geometridae	Lepidoptera	1	NT	NT	IUCN Threat listing (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> mature tree canopy, conifer or broadleaved >> conifer only			Larix decidua	Eupithecia		lariciata		NHMSYS0021144095	NHMSYS0021144095	R	Taxon
Eupithecia linariata	4361	Eupithecia linariata	Toadflax Pug	Geometridae	Lepidoptera	1	NT	NT	IUCN Threat listing (1)	herbivore	nectivore	open habitats	short sward & bare ground	habitats >> sward/field layer, soil humidity >> dry			Linaria	Eupithecia		linariata		NHMSYS0021144079	NHMSYS0021144079	R	Taxon
Eupithecia millefoliata	4362	Eupithecia millefoliata	Yarrow Pug	Geometridae	Lepidoptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	open habitats	short sward & bare ground	habitats >> sward/field layer, soil humidity >> dry			Achillea millefolium	Eupithecia		millefoliata		NBNSYS0000005929	NHMSYS0000502610	R	Taxon
Eupithecia nanata	12396	Eupithecia nanata	Narrow-winged Pug	Geometridae	Lepidoptera	1						open habitats			F003			Eupithecia		nanata		NBNSYS0000100001	NHMSYS0021144098	R	Taxon
Eupithecia phoeniceata	4363	Eupithecia phoeniceata	Cypress Pug	Geometridae	Lepidoptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore						Cupressus macrocarpa	Eupithecia		phoeniceata		NBNSYS0000005943	NBNSYS0000005943	R	Taxon
Eupithecia pimpinellata	4364	Eupithecia pimpinellata	Pimpinel Pug	Geometridae	Lepidoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	herbivore	nectivore	open habitats	short sward & bare ground	habitats >> sward/field layer, soil humidity >> dry	F112	calcareous grassland: Moderate	Pimpinella saxifraga	Eupithecia		pimpinellata		NHMSYS0021144097	NHMSYS0021144097	R	Taxon
Eupithecia plumbeolata	4365	Eupithecia plumbeolata	Lead-coloured Pug	Geometridae	Lepidoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	herbivore	nectivore	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat >> undergrowth			Melampyrum pratense, Plantae	Eupithecia		plumbeolata		NBNSYS0000005896	NBNSYS0000005896	R	Taxon
Eupithecia pulchellata	4366	Eupithecia pulchellata	Foxglove Pug	Geometridae	Lepidoptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Digitalis purpurea	Eupithecia		pulchellata		NBNSYS0000005899	NHMSYS0000550501	R	Taxon
Eupithecia pusillata	4367	Eupithecia pusillata	Juniper Pug	Geometridae	Lepidoptera	1	VU	VU	IUCN Threat listing (1)	herbivore	nectivore	tree-associated	arboreal	canopy >> scrub at wood edge/glade, conifer or broadleaved >> conifer only			Juniperus communis, Tamarix, Tamarix gallica	Eupithecia		pusillata		NHMSYS0021144088	NHMSYS0021144088	R	Taxon
Eupithecia pusillata anglicata	12397	Eupithecia pusillata subsp. anglicata		Geometridae	Lepidoptera	32	Extinct	RE	IUCN Threat listing (1)									Eupithecia		pusillata	anglicata	NBNSYS0000005232	NHMSYS0000502614	R	original_taxon
Eupithecia pygmaeata	4368	Eupithecia pygmaeata	Marsh Pug	Geometridae	Lepidoptera	1		LC	IUCN Threat listing (1)	herbivore	nectivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> variable humidity			Cerastium arvense	Eupithecia		pygmaeata		NHMSYS0021144081	NHMSYS0021144081	R	Taxon
