Taxon	Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	TAXON_VERSION_KEY	RECOMMENDED_TAXON_VERSION_KEY	NAME_STATUS	MATCHED_ON
Proutia betulina	12562	Proutia betulina	Birch Sweep	Psychidae	Lepidoptera	8	pRDB 3	[Rare]	[GB Rarity listing] (1)	herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only, epiphytes >> lichen			Asteraceae	Proutia		betulina		NHMSYS0000503926	NHMSYS0000503926	R	Taxon
Psacadina verbekei	9607	Psacadina verbekei		Sciomyzidae	Diptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	parasitoid	saprophagous	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated, wetland vegetation			Mollusca	Psacadina		verbekei		NBNSYS0000013007	NBNSYS0000013007	R	Taxon
Psacadina vittigera	9608	Psacadina vittigera		Sciomyzidae	Diptera	8	RDB 2	[Threat]	[IUCN Threat listing] (1)	parasitoid	saprophagous	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated, wetland vegetation	W314		Mollusca	Psacadina		vittigera		NBNSYS0000013008	NBNSYS0000013008	R	Taxon
Psacadina zernyi	9609	Psacadina zernyi		Sciomyzidae	Diptera	8	RDB 2	[Threat]	[IUCN Threat listing] (1)	parasitoid	saprophagous	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated, wetland vegetation	W314		Mollusca	Psacadina		zernyi		NBNSYS0000013009	NBNSYS0000013009	R	Taxon
Psallodema fieberi	2343	Psallodema fieberi		Miridae	Hemiptera	1				herbivore	herbivore	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Arthropoda, Ulmus glabra	Psallodema		fieberi		NBNSYS0000010184	NHMSYS0020309716	R	Taxon
Psallus albicinctus	12083	Psallus (Psallus) albicinctus		Miridae	Hemiptera	4	Nb	[Scarce]	[GB Rarity listing] (1)	herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Plantae, Quercus	Psallus	Psallus	albicinctus		NBNSYS0000010157	NHMSYS0020309734	R	Taxon
Psallus ambiguus	12080	Psallus (Mesopsallus) ambiguus		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Acer campestre, Alnus, Crataegus, Malus, Salix	Psallus	Mesopsallus	ambiguus		NBNSYS0000010145	NHMSYS0020309728	R	Taxon
Psallus assimilis	12075	Psallus (Hylopsallus) assimilis		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Acer campestre, Quercus	Psallus	Hylopsallus	assimilis		NBNSYS0000010147	NHMSYS0020309722	R	Taxon
Psallus betuleti	12074	Psallus (Apocremnus) betuleti		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Betula	Psallus	Apocremnus	betuleti		NBNSYS0000010146	NHMSYS0020309719	R	Taxon
Psallus confusus	12084	Psallus (Psallus) confusus		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Populus, Quercus	Psallus	Psallus	confusus		NBNSYS0000010158	NHMSYS0020309735	R	Taxon
