2026-01-24 22:53:48,667 - INFO - Starting JNCC annotation (v2 - using included_tvk_list)
2026-01-24 22:53:48,667 - INFO - UKSI input file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_valid_species_output.tsv
2026-01-24 22:53:48,667 - INFO - JNCC input file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\20231206_jncc_conservation_designations_taxon_uksi_mapped.tsv
2026-01-24 22:53:48,668 - INFO - Output file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_valid_species_jncc_annotated.tsv
2026-01-24 22:53:48,668 - INFO - Log file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_jncc_annotation.log
2026-01-24 22:53:48,669 - INFO - Loading JNCC conservation designations...
2026-01-24 22:53:48,770 - INFO - Loaded 15725 unique TVKs from JNCC file (from 14395 rows)
2026-01-24 22:53:48,770 - INFO - Processing UKSI species file...
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0020636762: rows ['14347', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000528024: rows ['14348', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000376980: rows ['14349', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000528026: rows ['14350', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000376984: rows ['14351', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000005153: rows ['14352', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000528028: rows ['14353', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000005154: rows ['14354', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000080182: rows ['14355', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000080183: rows ['14356', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000080184: rows ['14357', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000377011: rows ['14360', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000080185: rows ['14361', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000080186: rows ['14362', '14388']
2026-01-24 22:53:49,206 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000377112: rows ['14364', '14388']
2026-01-24 22:53:49,207 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000080187: rows ['14365', '14388']
2026-01-24 22:53:49,207 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0020001355: rows ['14367', '14388']
2026-01-24 22:53:49,207 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0100004720: rows ['14368', '14388']
2026-01-24 22:53:49,207 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000005102: rows ['14369', '14388']
2026-01-24 22:53:49,207 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000005103: rows ['14370', '14388']
2026-01-24 22:53:49,207 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0000377305: rows ['14385', '14388']
2026-01-24 22:53:49,207 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000005095: rows ['14387', '14388']
