For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act	included_tvk_list
flowering plant	Eupatorium cannabinum	L.		NBNSYS0000004446										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000004446
flowering plant	Euphorbia	L.		NHMSYS0000458629						ECCITES-B																			NBNSYS0000003724;NBNSYS0000003725;NBNSYS0000003726;NBNSYS0000003727;NBNSYS0000003728;NBNSYS0000003729;NBNSYS0000003730;NBNSYS0000003731;NBNSYS0000003732;NBNSYS0000003733;NBNSYS0000003734;NBNSYS0000003735;NBNSYS0000003736;NBNSYS0000003739;NBNSYS0000003740;NBNSYS0000003741;NBNSYS0000005471;NBNSYS0000005495;NBNSYS0000161666;NBNSYS0000163571;NBNSYS0000163572;NBNSYS0000163573;NBNSYS0000163574;NBNSYS0000163575;NBNSYS0000163576;NBNSYS0000164079;NBNSYS0100003114;NBNSYS0200002168;NBNSYS0200002169;NBNSYS0200002170;NBNSYS0200002172;NBNSYS0200002173;NBNSYS0200002174;NBNSYS0200002175;NBNSYS0200002176;NBNSYS0200002177;NBNSYS0200002178;NBNSYS0200003874;NBNSYS0500000385;NHMSYS0000344590;NHMSYS0000458629;NHMSYS0000458630;NHMSYS0000458631;NHMSYS0000458632;NHMSYS0000458634;NHMSYS0000458638;NHMSYS0001754468;NHMSYS0001754636;NHMSYS0020083421;NHMSYS0020823748;NHMSYS0021870992;NHMSYS0021871097;NHMSYS0021872027;NHMSYS0100001501;NHMSYS0100001502;NHMSYS0100001505
flowering plant	Euphorbia amygdaloides	L.		NBNSYS0000003741										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000003741
flowering plant	Euphorbia exigua	L.		NBNSYS0000003734										RedList_ENG_post2001-VU,RedList_GB_post2001-VU															NBNSYS0000003734
flowering plant	Euphorbia helioscopia	L.		NBNSYS0000003732										RedList_ENG_post2001-LC,RedList_GB_post2001-LC							Scottish_Biodiversity_List								NBNSYS0000003732
flowering plant	Euphorbia hyberna	L.		NBNSYS0000003728						ECCITES-B				RedList_ENG_post2001-VU,RedList_GB_post2001-VU				NR-excludes											NBNSYS0000003728
flowering plant	Euphorbia lathyris	L.		NBNSYS0000003725										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000003725
flowering plant	Euphorbia paralias	L.		NBNSYS0000003736										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000003736
flowering plant	Euphorbia peplis	L.		NBNSYS0000003724						ECCITES-B				RedList_GB_post2001-EX,RedList_GB_post2001-RE															NBNSYS0000003724
flowering plant	Euphorbia peplus	L.		NBNSYS0000003733										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000003733
flowering plant	Euphorbia platyphyllos	L.		NBNSYS0000003730						ECCITES-B				RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000003730
flowering plant	Euphorbia portlandica	L.		NBNSYS0000003735										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000003735
flowering plant	Euphorbia serrulata	Thuill.		NBNSYS0000039527						ECCITES-B				RedList_ENG_post2001-DD,RedList_GB_post2001-LC				NR-excludes											NBNSYS0000039527;NHMSYS0100001505
flowering plant	Euphrasia arctica	Lange ex Rostrup		NBNSYS0000014123										RedList_ENG_post2001-VU,RedList_GB_post2001-NT															NBNSYS0000014123
flowering plant	Euphrasia arctica subsp. arctica	Lange ex Rostrup		NHMSYS0000458648										RedList_ENG_post2001-DD				NS-excludes											NBNSYS0000014123;NHMSYS0000458648
flowering plant	Euphrasia arctica subsp. borealis	(F. Towns.) Yeo		NHMSYS0000458649										RedList_ENG_post2001-DD															NBNSYS0000014123;NHMSYS0000458649
flowering plant	Euphrasia cambrica	Pugsley		NBNSYS0000004153										RedList_GB_post2001-EN				NR-excludes	BAP-2007			Env (Wales) Act S7							NBNSYS0000004153
flowering plant	Euphrasia campbelliae	Pugsley		NBNSYS0000004147										RedList_GB_post2001-VU				NR-excludes	BAP-2007		Scottish_Biodiversity_List								NBNSYS0000004147
flowering plant	Euphrasia confusa	Pugsley		NBNSYS0000004157										RedList_ENG_post2001-VU,RedList_GB_post2001-VU															NBNSYS0000004157
flowering plant	Euphrasia foulaensis	F. Towns. ex Wettst.		NHMSYS0000458663										RedList_GB_post2001-VU				NS-excludes											NHMSYS0000458663
flowering plant	Euphrasia frigida	Pugsley		NBNSYS0000004144										RedList_ENG_post2001-LC,RedList_GB_post2001-EN															NBNSYS0000004144
