row	taxon_name	scientificName	key	matchType	confidence	status	rank	kingdom	phylum	class	order	family	genus	species	original list	synonyms
142	Acroceratitis incompleta	Acroceratitis incompleta Hardy, 1973	1624519	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis incompleta	genus	
143	Acroceratitis maculata	Acroceratitis maculata Premlata & Singh, 1988	1624507	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis maculata	genus	
144	Acroceratitis nigrifacies	Acroceratitis nigrifacies Meijere, 1924	1624517	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis nigrifacies	genus	
145	Acroceratitis parastriata	Acroceratitis parastriata David & Hancock	8507546	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis parastriata	genus	
146	Acroceratitis plumosa	Acroceratitis plumosa Hendel, 1913	1624520	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis plumosa	genus	
147	Acroceratitis sachini	Acroceratitis Hendel, 1913	1624496	HIGHERRANK	94	ACCEPTED	GENUS	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis		genus	
148	Acroceratitis separata	Acroceratitis separata (Bezzi, 1913)	1624514	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis separata	genus	
149	Acroceratitis septemmaculata	Acroceratitis septemmaculata Hardy, 1973	1624521	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis septemmaculata	genus	
150	Acroceratitis siamensis	Acroceratitis siamensis (Munro, 1935)	1624500	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis siamensis	genus	
151	Acroceratitis similis	Acroceratitis similis Hardy, 1973	1624499	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis similis	genus	
152	Acroceratitis striata	Acroceratitis striata (Froggatt, 1909)	1624510	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis striata	genus	
153	Acroceratitis tenmalaica	Acroceratitis tenmalaica Hancock & Drew, 1999	1624528	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis tenmalaica	genus	
154	Acroceratitis tomentosa	Acroceratitis tomentosa Hardy, 1973	1624522	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Diptera	Tephritidae	Acroceratitis	Acroceratitis tomentosa	genus	
155	Acrogonia citrina	Acrogonia citrina Marucci & Cavichioli, 2002	5155453	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	Acrogonia	Acrogonia citrina	species	
156	Acrogonia virescens	Acrogonia virescens (Metcalf, 1949)	5155461	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae	Acrogonia	Acrogonia virescens	species	
157	Aculops acericola	Aculops acericola (Nalepa, 1894)	4543858	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Arachnida	Trombidiformes	Eriophyidae	Aculops	Aculops acericola	allied_species	
158	Aculops fuchsiae	Aculops fuchsiae Keifer, 1972	6914433	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Arachnida	Trombidiformes	Eriophyidae	Aculops	Aculops fuchsiae	species	
160	Aculops lathyri	Aculops lathyri (Nalepa, 1917)	4543931	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Arachnida	Trombidiformes	Eriophyidae	Aculops	Aculops lathyri	allied_species	
161	Aculops macrotrichus	Aculops macrotrichus (Nalepa, 1889)	4543885	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Arachnida	Trombidiformes	Eriophyidae	Aculops	Aculops macrotrichus	allied_species	
162	Aculops pedicularis	Aculops pedicularis (Nalepa, 1892)	4543862	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Arachnida	Trombidiformes	Eriophyidae	Aculops	Aculops pedicularis	allied_species	
163	Adelges (Cholodkovskaya) viridanas	Adelges viridanas (Cholodkovsky, 1896)	11181047	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Hemiptera	Adelgidae	Adelges	Adelges viridanas	allied_species	
164	Adelges laricis	Adelges laricis Vallot, 1836	2049722	EXACT	99	ACCEPTED	SPECIES	Animalia	Arthropoda	Insecta	Hemiptera	Adelgidae	Adelges	Adelges laricis	allied_species	
