organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	species	synonyms	synonym_tvk_list	recommended_name_authority	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag
NBNORG0000123043	NHMSYS0021843361	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Athallia	Athallia holocarpa s. lat.	Athallia holocarpa;Callopisma pyraceum;Caloplaca holocarpa;Caloplaca holocarpa s. lat.;Caloplaca holocarpa var. pyrithroma;Caloplaca pyracea;Caloplaca pyracea var. pyrithroma;Lecanora pyracea;Lecidea rupestris var. pyrithroma;Placodium pyraceum;Placodium pyraceum f. pictum;Placodium pyraceum var. holocarpum;Placodium pyraceum var. pyrithromum;Verrucaria obliterata var. holocarpa;Verrucaria oblitterata var. holocarpa	NHMSYS0020989762;NHMSYS0020989873;NBNSYS0000020540;BMSSYS0000043346;BMSSYS0000003139;BMSSYS0000533626;BMSSYS0000003155;NHMSYS0020990393;NHMSYS0001486894;NHMSYS0020990942;NHMSYS0020990944;BMSSYS0000014604;BMSSYS0000014606;NHMSYS0001501666;BMSSYS0000597923			Y		
NBNORG0000108522	NHMSYS0021843356	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Athallia	Athallia holocarpa s. str.	Caloplaca holocarpa s. str.	NHMSYS0020987564	(Hoffm.) Arup, Frödén & Søchting		Y		
NBNORG0000123126	NHMSYS0021797757	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Blastenia	Blastenia ferruginea s. lat.	Callopisma ferrugineum;Caloplaca aurantiaca;Caloplaca ferruginea agg.;Caloplaca ferruginea s. lat.;Lecanora aurantiaca;Lecanora ferruginea;Lecidea ferruginea;Lichen aurantiacus;Lichen ferrugineus;Placodium ferrugineum	NHMSYS0020989870;NHMSYS0001476627;NHMSYS0001476641;BMSSYS0000533619;BMSSYS0000046990;NHMSYS0020990353;NHMSYS0020990017;NHMSYS0001487914;NHMSYS0001488049;BMSSYS0000014578			Y		
NBNORG0000108517	NHMSYS0020989825	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Blastenia	Blastenia ferruginea s. str.	Caloplaca ferruginea s. str.	NHMSYS0020987548	(Huds.) A. Massal.		Y		
NBNORG0000136165	NHMSYS0021795117	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Blastenia	Blastenia herbidella s. lat.	Caloplaca hebridella;Caloplaca herbidella s. lat.	NBNSYS0000020539;BMSSYS0000043345			Y		
NBNORG0000108520	NHMSYS0020989826	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Blastenia	Blastenia herbidella s. str.	Blastenia caesiorufa f. herbidella;Caloplaca herbidella s. str.	NHMSYS0001475794;NHMSYS0020987556	(Hue) Servít		Y		
NBNORG0000123114	NHMSYS0021843376	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Flavoplaca	Flavoplaca citrina s. lat.	Callopisma citrinum;Caloplaca citrina;Caloplaca citrina agg.;Caloplaca citrina s. lat.;Caloplaca citrina var. maritima;Parmelia citrina;Placodium citrinum;Verrucaria citrina	NHMSYS0020989869;NHMSYS0001476635;NHMSYS0001476636;BMSSYS0000289920;NHMSYS0001442576;BMSSYS0000048862;NHMSYS0020990931;NHMSYS0001501555			Y		
NBNORG0000125453	NHMSYS0021843381	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Flavoplaca	Flavoplaca citrina s. str.	Caloplaca citrina s. str.	NHMSYS0020105990	(Hoffm.) Arup, Frödén & Søchting		Y		
NBNORG0000123118	NHMSYS0021843396	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Polycauliona	Polycauliona candelaria s. lat.	Parmelia candelaria;Parmelia candelaria var. lychnea;Physcia lychnea;Physcia parietina var. lychnea;Squamaria candelaria;Xanthoria candelaria;Xanthoria candelaria agg.;Xanthoria candelaria s. lat.;Xanthoria lychnea;Xanthoria lychnea var. perfusa	NHMSYS0019999814;NHMSYS0001491763;NHMSYS0020990901;NHMSYS0020990909;NHMSYS0001498806;NHMSYS0001501919;NHMSYS0001501920;BMSSYS0000290075;NHMSYS0001501924;NHMSYS0021797747			Y		
NBNORG0000125455	BMSSYS0000534105	Fungi	Ascomycota	Lecanoromycetes	Teloschistales	Teloschistaceae	Polycauliona	Polycauliona candelaria s. str.	Lecanora candelaria;Lichen candelarius;Massjukiella candelaria;Xanthoria candelaria s. str.	NHMSYS0021647615;NHMSYS0001487934;NHMSYS0020990584;NHMSYS0020105998	(L.) Fröden, Arup & Søchting		Y		
