organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act
NBNORG0000113905	NHMSYS0021055580	Animalia	Mollusca	Gastropoda	Littorinimorpha	Bithyniidae	Bithynia	Bithynia tentaculata	(Linnaeus, 1758)	Species	Bithynia (Bithynia) tentaculata			Y		Y	Y	1				herbivore	herbivore	wetland	marshland	base status >> base-neutral, shallow freshwater pond >> aquatic: well vegetated		coarse woody debris: c, grazing marsh - salinity: 0, grazing marsh - status: 1	Plantae										RedList_GB_post2001-LC														
NBNORG0000089551	NHMSYS0021125444	Animalia	Arthropoda	Insecta	Coleoptera	Dytiscidae	Boreonectes	Boreonectes multilineatus	(Falkenström, 1922)	Species	Deronectes griseostriatus;Hydroporus griseostriatus;Nebrioporus griseostriatus;Potamonectes griseostriatus;Stictotarsus griseostriatus;Stictotarsus multilineatus		Y	Y		Y	Y	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats; lake	base status >> acid, lakeside emergent/aquatic vegetation, shallow freshwater pond >> aquatic: sparsely vegetated	W311		Arthropoda														NS-excludes					NI_Priority					
NBNORG0000085557	NHMSYS0001593232	Animalia	Arthropoda	Branchiopoda	Diplostraca	Bosminidae	Bosmina	Bosmina (Bosmina) longirostris	(O. F. Müller, 1776)	Species	Bosmina (Bosmina) longirostris cornuta;Bosmina longirostris;Lynceus longirostris		Y	Y		Y	Y																																				
NBNORG0000085559	NHMSYS0001593234	Animalia	Arthropoda	Branchiopoda	Diplostraca	Bosminidae	Bosmina	Bosmina (Eubosmina) coregoni	Baird, 1857	Species	Bosmina coregoni;Eubosmina coregoni		Y	Y		Y	Y																																				
NBNORG0000091573	NHMSYS0020110440	Animalia	Arthropoda	Branchiopoda	Diplostraca	Bosminidae	Bosmina	Bosmina (Eubosmina) longispina	Leydig, 1860	Species	Bosmina longispina;Eubosmina longispina		Y	Y		Y	Y																																				
NBNORG0000043819	NBNSYS0100009678	Animalia	Annelida	Clitellata	Haplotaxida	Tubificidae	Bothrioneurum	Bothrioneurum vejdovskyanum	Štolc, 1886	Species			Y	Y		Y	Y																																				
NBNORG0000061797	NHMSYS0000546546	Animalia	Platyhelminthes	Rhabditophora	Seriata	Bothrioplanidae	Bothrioplana	Bothrioplana semperi	Braun, 1881	Species			Y	Y		Y	Y																																				
NBNORG0000061799	NHMSYS0000546548	Animalia	Platyhelminthes	Rhabditophora	Rhabdocoela	Typhloplanidae	Bothromesostoma	Bothromesostoma personatum	(Schmidt, 1848)	Species			Y	Y		Y	Y																																				
NBNORG0000043821	NBNSYS0100009700	Animalia	Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus	Brachionus angularis	Gosse, 1851	Species	Brachionis angularis;Brachionus angularis subsp. bidens		Y	Y	Y	Y	Y																																				
NBNORG0000043822	NBNSYS0100009701	Animalia	Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus	Brachionus calyciflorus	Pallas, 1766	Species	Brachionis calyciflorus		Y	Y	Y	Y	Y																																				
NBNORG0000043823	NBNSYS0100009702	Animalia	Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus	Brachionus leydigii	Cohn, 1862	Species	Brachionis leydigi		Y	Y	Y	Y	Y																																				
NBNORG0000043825	NBNSYS0100009704	Animalia	Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus	Brachionus plicatilis	Müller, 1786	Species	Brachionis plicatilis		Y	Y	Y	Y	Y																																				
NBNORG0000043826	NBNSYS0100009705	Animalia	Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus	Brachionus quadridentatus	Hermann, 1783	Species	Brachionis quadridentatus		Y	Y	Y	Y	Y																																				
NBNORG0000043827	NBNSYS0100009706	Animalia	Rotifera	Eurotatoria	Ploima	Brachionidae	Brachionus	Brachionus urceolaris	Müller, 1773	Species	Brachionis urceolaris		Y	Y	Y	Y	Y																																				
NBNORG0000010618	NBNSYS0000008433	Animalia	Arthropoda	Insecta	Trichoptera	Brachycentridae	Brachycentrus	Brachycentrus subnubilus	Curtis, 1834	Species			Y	Y		Y	Y	1		LC	IUCN Threat listing (1)		possible nectivore	wetland	running water	flow >> slow flow		coarse woody debris: e											RedList_GB_post2001-LC														
NBNORG0000011346	NBNSYS0000010900	Animalia	Arthropoda	Insecta	Ephemeroptera	Caenidae	Brachycercus	Brachycercus harrisella	Curtis, 1834	Species	Brachycercus harrisellus		Y	Y		Y	Y	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	saprophagous	does not feed	wetland	running water	flow >> slow flow, unmodified fast flowing streams													RedList_GB_post2001-LC			NS-includes											
NBNORG0000043830	NBNSYS0100009710	Animalia	Arthropoda	Arachnida	Trombidiformes	Aturidae	Brachypoda	Brachypoda celeripes	K.H.Viets, 1910	Species			Y	Y		Y	Y																																				
NBNORG0000105571	NHMSYS0020926651	Animalia	Arthropoda	Arachnida	Trombidiformes	Aturidae	Brachypoda	Brachypoda versicolor	(Müller, 1776)	Species			Y	Y		Y	Y																																				
NBNORG0000041295	NBNSYS0100002072	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Brachypogon	Brachypogon nitidulus	(Edwards, 1921)	Species	Brachypogon (Isohelea) nitidulus;Brachypogon norvegicus;Isohelea nitidula;Psilohelea nitidula		Y	Y		Y	Y																																				
NBNORG0000041296	NBNSYS0100002073	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Brachypogon	Brachypogon perpusillus	(Edwards, 1921)	Species	Brachypogon (Isohelea) perpusillus;Isohelea perpusilla;Psilohelea perpusilla		Y	Y		Y	Y																																				
NBNORG0000041297	NBNSYS0100002074	Animalia	Arthropoda	Insecta	Diptera	Ceratopogonidae	Brachypogon	Brachypogon sociabilis	(Goetghebuer, 1920)	Species	Brachypogon (Isohelea) sociabilis;Forcipomyia sociabilis;Isohelea sociabilis;Psilohelea sociabilis		Y	Y		Y	Y																																				
NBNORG0000017095	NBNSYS0000022413	Animalia	Arthropoda	Insecta	Plecoptera	Taeniopterygidae	Brachyptera	Brachyptera putata	(Newman, 1838)	Species	Nemoura putata;Taeniopteryx putata		Y	Y		Y	Y	4	NS; Section 41 Priority Species	LC; Nationally Scarce; S41. Priority Species	GB Rarity listing (1); IUCN Threat listing (1); Legal listing (1)	saprophagous	does not feed	wetland	running water	flow >> slow flow	W125												RedList_GB_post2001-LC			NS-includes		BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7						
NBNORG0000017096	NBNSYS0000022414	Animalia	Arthropoda	Insecta	Plecoptera	Taeniopterygidae	Brachyptera	Brachyptera risi	(Morton, 1896)	Species	Taeniopteryx risi		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	saprophagous	does not feed	wetland	running water	flow >> fast flow, unmodified fast flowing streams													RedList_GB_post2001-LC														
NBNORG0000008982	NBNSYS0000005622	Animalia	Arthropoda	Insecta	Odonata	Aeshnidae	Brachytron	Brachytron pratense	(Müller, 1764)	Species	Brachytron hafniense		Y	Y		Y	Y	1		LC	IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	shallow freshwater pond >> aquatic: well vegetated		grazing marsh - salinity: 0, grazing marsh - status: 2	Arthropoda										RedList_GB_post2001-LC														
