Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	Taxon
8628	Syneches muscarius		Hybotidae	Diptera	8	NR; VU	Nationally Rare; VU	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	acid & sedge peats	wetland vegetation				Syneches		muscarius		Syneches muscarius
8629	Tachydromia acklandi		Hybotidae	Diptera	8	NR; NT	Nationally Rare; NT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water	exposed riverine sediments >> riparian sand	W111			Tachydromia		acklandi		Tachydromia acklandi
8630	Tachydromia aemula		Hybotidae	Diptera	1				predator	predator	open habitats	tall sward & scrub	habitats >> sward/field layer			Arthropoda	Tachydromia		aemula		Tachydromia aemula
8631	Tachydromia arrogans		Hybotidae	Diptera	1				predator	predator	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Arthropoda	Tachydromia		arrogans		Tachydromia arrogans
8632	Tachydromia connexa		Hybotidae	Diptera	8	NR; VU	Nationally Rare; VU	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water	drawdown zone: mud/shallow litter, exposed riverine sediments >> riparian sand	W111			Tachydromia		connexa		Tachydromia connexa
8633	Tachydromia costalis		Hybotidae	Diptera	8	NR; NT	Nationally Rare; NT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	running water	flow >> fast flow, unmodified fast flowing streams	W114	ERS (Diptera): 1		Tachydromia		costalis		Tachydromia costalis
8634	Tachydromia edenensis		Hybotidae	Diptera					predator	predator	wetland	running water	exposed riverine sediments >> riparian shingle, flow >> fast flow, unmodified fast flowing streams	W111	ERS (Diptera): 1		Tachydromia		edenensis		Tachydromia edenensis
8635	Tachydromia enecator		Hybotidae	Diptera	8	DD; NR	DD; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland		wetland vegetation				Tachydromia		enecator		Tachydromia enecator
8636	Tachydromia halidayi		Hybotidae	Diptera	4	(LR); NS	Nationally Scarce; [Threat]	GB Rarity listing (1); [IUCN Threat listing] (1)	predator	predator	wetland	running water	exposed riverine sediments >> riparian shingle, unmodified fast flowing streams	W111	ERS (Diptera): 1		Tachydromia		halidayi		Tachydromia halidayi
8637	Tachydromia halterata		Hybotidae	Diptera	16	EN; NR	EN; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator							Tachydromia		halterata		Tachydromia halterata
8638	Tachydromia morio		Hybotidae	Diptera					predator	predator	wetland	running water			ERS (Diptera): 1		Tachydromia		morio		Tachydromia morio
8639	Tachydromia terricola		Hybotidae	Diptera	8	NR; VU	Nationally Rare; VU	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats	short sward & bare ground	habitats >> exposed sand, soil humidity >> dry, soil type >> sand, stones, boulders, shingle and scree >> shingle	F111			Tachydromia		terricola		Tachydromia terricola
8640	Tachydromia umbrarum		Hybotidae	Diptera					predator	predator	open habitats	tall sward & scrub	habitats >> scrub, habitats >> sward/field layer			Arthropoda	Tachydromia		umbrarum		Tachydromia umbrarum
8641	Tachydromia woodi		Hybotidae	Diptera	8	NR; NT	Nationally Rare; NT	GB Rarity listing (1); IUCN Threat listing (1)		predator	wetland	running water	exposed riverine sediments >> riparian sand, exposed riverine sediments >> riparian shingle, unmodified fast flowing streams	W111	ERS (Diptera): 2		Tachydromia		woodi		Tachydromia woodi
8642	Trichina bilobata		Hybotidae	Diptera					predator	predator							Trichina		bilobata		Trichina bilobata
8643	Trichina clavipes		Hybotidae	Diptera	1				predator	predator	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, woodland habitat			Diptera, Plantae	Trichina		clavipes		Trichina clavipes
8644	Trichina elongata		Hybotidae	Diptera	1				predator	predator	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, woodland habitat			Diptera, Plantae	Trichina		elongata		Trichina elongata
8645	Trichina opaca		Hybotidae	Diptera	4	(LR); NS	Nationally Scarce; [Threat]	GB Rarity listing (1); [IUCN Threat listing] (1)	predator	predator							Trichina		opaca		Trichina opaca
8646	Trichina pallipes		Hybotidae	Diptera	1				predator	predator	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, woodland habitat			Diptera, Plantae	Trichina		pallipes		Trichina pallipes
8647	Trichinomyia flavipes		Hybotidae	Diptera	1				predator	predator	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> dry, woodland habitat			Arthropoda, Plantae	Trichinomyia		flavipes		Trichinomyia flavipes
8648	Aulogastromyia anisodactyla		Lauxaniidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	saprophagous	predator	open habitats; tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> dry, woodland habitat >> woodland litter	F001		Fagales, Plantae	Aulogastromyia		anisodactyla		Aulogastromyia anisodactyla
8649	Coenosia acuminata		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal; open habitats	brackish pools & ditches; saline lagoon; saltmarsh	aquatic: well vegetated			Arthropoda	Coenosia		acuminata		Coenosia acuminata
8650	Coenosia agromyzina		Muscidae	Diptera	1				predator	predator	tree-associated; wetland	shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, humidity >> wet			Arthropoda	Coenosia		agromyzina		Coenosia agromyzina
8651	Coenosia albicornis		Muscidae	Diptera	1				predator	predator	open habitats	tall sward & scrub	habitats >> soil & roots			Arthropoda, Diptera	Coenosia		albicornis		Coenosia albicornis
8652	Coenosia antennata		Muscidae	Diptera	1				predator	predator	coastal	saltmarsh				Arthropoda, Diptera	Coenosia		antennata		Coenosia antennata
8653	Coenosia atra		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats; wetland					Arthropoda	Coenosia		atra		Coenosia atra
8654	Coenosia bilineella		Muscidae	Diptera	1				predator	predator						Arthropoda	Coenosia		bilineella		Coenosia bilineella
8655	Coenosia brevisquama		Muscidae	Diptera	4	pDD	pDD	IUCN Threat listing (1)	predator	predator						Arthropoda, Insecta	Coenosia		brevisquama		Coenosia brevisquama
8656	Coenosia campestris		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> damp			Acer, Arthropoda, Diptera, Plantae	Coenosia		campestris		Coenosia campestris
8657	Coenosia distinguens		Muscidae	Diptera	1				predator	predator						Arthropoda	Coenosia		distinguens		Coenosia distinguens
8658	Coenosia dubiosa		Muscidae	Diptera	4	pDD	pDD	IUCN Threat listing (1)	predator	predator	coastal	saltmarsh; sandy beach	saline silt			Arthropoda, Ceratopogonidae, Noctuidae, Scatopsidae, Sciaridae, Typha latifolia	Coenosia		dubiosa		Coenosia dubiosa
8659	Coenosia femoralis		Muscidae	Diptera	1				predator	predator						Arthropoda, Diptera	Coenosia		femoralis		Coenosia femoralis
8660	Coenosia flavimana		Muscidae	Diptera	4	pNS; pNT	pNS; pNT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal; open habitats	saltmarsh	saline silt			Arthropoda, Diptera	Coenosia		flavimana		Coenosia flavimana
8661	Coenosia humilis		Muscidae	Diptera	1				predator	predator						Arthropoda	Coenosia		humilis		Coenosia humilis
8662	Coenosia infantula		Muscidae	Diptera	1				predator	predator						Arthropoda, Diptera	Coenosia		infantula		Coenosia infantula
8663	Coenosia intermedia		Muscidae	Diptera	1				predator	predator						Arthropoda, Diptera	Coenosia		intermedia		Coenosia intermedia
8664	Coenosia karli		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal; open habitats	brackish pools & ditches; saltmarsh; sandy beach	saline silt, tidal litter			Arthropoda, Diptera	Coenosia		karli		Coenosia karli
8665	Coenosia lacteipennis		Muscidae	Diptera	1				predator	predator	coastal; open habitats	rocky shore; saltmarsh; sandy beach; short sward & bare ground	habitats >> unknown, soil humidity >> dry, tidal litter	F111			Coenosia		lacteipennis		Coenosia lacteipennis
8666	Coenosia means		Muscidae	Diptera	1				predator	predator						Arthropoda, Diptera	Coenosia		means		Coenosia means
8667	Coenosia minutalis		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal; open habitats	saltmarsh; short sward & bare ground	habitats >> exposed sand, saline silt, soil humidity >> dry, soil type >> sand	F111		Arthropoda, Honckenya peploides	Coenosia		minutalis		Coenosia minutalis
8668	Coenosia mollicula		Muscidae	Diptera	1				predator	predator	open habitats	tall sward & scrub	habitats >> soil & roots			Arthropoda, Diptera	Coenosia		mollicula		Coenosia mollicula
8669	Coenosia paludis		Muscidae	Diptera	4	pNS; pNT	pNS; pNT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	tree-associated; wetland	shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, humidity >> damp			Arthropoda, Plantae	Coenosia		paludis		Coenosia paludis
8670	Coenosia pedella		Muscidae	Diptera	1				predator	predator						Arthropoda, Diptera	Coenosia		pedella		Coenosia pedella
8671	Coenosia perpusilla		Muscidae	Diptera	1				predator	predator	open habitats	upland				Arthropoda	Coenosia		perpusilla		Coenosia perpusilla
8672	Coenosia pudorosa		Muscidae	Diptera	4	pNS; pNT	pNS; pNT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	tree-associated; wetland	shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> light shade, woodland habitat			Arthropoda, Plantae	Coenosia		pudorosa		Coenosia pudorosa
8673	Coenosia pumila		Muscidae	Diptera	1				predator	predator						Arthropoda, Diptera	Coenosia		pumila		Coenosia pumila
8674	Coenosia pygmaea		Muscidae	Diptera	4	pNS; pNT	pNS; pNT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal; open habitats	brackish pools & ditches; saltmarsh	saline silt			Arthropoda	Coenosia		pygmaea		Coenosia pygmaea
8675	Coenosia ruficornis		Muscidae	Diptera	1				predator	predator						Arthropoda	Coenosia		ruficornis		Coenosia ruficornis
8676	Coenosia rufipalpis		Muscidae	Diptera	1				predator	predator						Arthropoda, Diptera	Coenosia		rufipalpis		Coenosia rufipalpis
8677	Coenosia stigmatica		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	tree-associated; wetland	shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, humidity >> damp			Arthropoda, Plantae	Coenosia		stigmatica		Coenosia stigmatica
8678	Coenosia testacea		Muscidae	Diptera	1				predator	predator	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> dry			Arthropoda, Diptera	Coenosia		testacea		Coenosia testacea
8679	Coenosia tigrina		Muscidae	Diptera	1				predator	predator	open habitats; tree-associated	shaded woodland floor; tall sward & scrub	conifer or broadleaved >> broadleaved only, habitats >> soil & roots, woodland habitat >> undergrowth			Arthropoda, Delia antiqua, Diptera, Fagales	Coenosia		tigrina		Coenosia tigrina
8680	Coenosia trilineella		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only			Arthropoda, Fagales	Coenosia		trilineella		Coenosia trilineella
8681	Coenosia verralli		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats	short sward & bare ground	habitats >> exposed sand, soil type >> sand	F111		Arthropoda, Diptera	Coenosia		verralli		Coenosia verralli
8682	Coenosia vibrissata		Muscidae	Diptera	4	pNS; pNT	pNS; pNT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal; open habitats; wetland	acid & sedge peats; brackish pools & ditches; marshland; running water; saltmarsh	brackish dune slacks, saline silt, wetland vegetation			Arthropoda	Coenosia		vibrissata		Coenosia vibrissata
8683	Drymeia hamata		Muscidae	Diptera	1				predator	predator	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only			Arthropoda, Fagales	Drymeia		hamata		Drymeia hamata
8684	Limnophora triangula		Muscidae	Diptera	1				predator	predator	wetland	acid & sedge peats; marshland; running water	wetland vegetation		ERS (Diptera): 3	Ceratopogonidae, Psychodidae	Limnophora		triangula		Limnophora triangula
8685	Lispe caesia		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal	brackish pools & ditches; saltmarsh	saline silt	M311		Arthropoda	Lispe		caesia		Lispe caesia
8686	Lispe consanguinea		Muscidae	Diptera	8	pDD	pDD	IUCN Threat listing (1)	predator	predator	coastal; open habitats	brackish pools & ditches; saltmarsh; sandy beach	brackish dune slacks, saline silt			Diptera	Lispe		consanguinea		Lispe consanguinea
8687	Lispe litorea		Muscidae	Diptera	1				predator	predator	coastal; wetland	brackish pools & ditches; marshland; saltmarsh	drawdown zone: mud/shallow litter, saline silt, shallow freshwater pond >> temporary water dependant			Arthropoda	Lispe		litorea		Lispe litorea
8688	Lispe loewi		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal	brackish pools & ditches; saltmarsh	saline silt	M311		Arthropoda	Lispe		loewi		Lispe loewi
8689	Lispe nana		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal	brackish pools & ditches; saltmarsh	saline silt	M311		Arthropoda	Lispe		nana		Lispe nana
8690	Lispocephala brachialis		Muscidae	Diptera	4	pNS; pNT	pNS; pNT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	tree-associated; wetland	running water; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, flow >> slow flow, humidity >> wet, unmodified fast flowing streams, woodland habitat, woodland stream	W114		Arthropoda, Marchantiophyta, Plantae	Lispocephala		brachialis		Lispocephala brachialis
8691	Lispocephala pallipalpis		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	tree-associated; wetland	running water; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, flow >> slow flow, humidity >> wet, unmodified fast flowing streams, woodland habitat, woodland stream			Arthropoda, Marchantiophyta, Plantae	Lispocephala		pallipalpis		Lispocephala pallipalpis
8692	Lispocephala rubricornis		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal; open habitats	saltmarsh		M311		Arthropoda	Lispocephala		rubricornis		Lispocephala rubricornis
8693	Lispocephala verna		Muscidae	Diptera	1				predator	predator	tree-associated; wetland	acid & sedge peats; running water; shaded woodland floor; wet woodland	base status >> acid, conifer or broadleaved >> broadleaved only, flow >> slow flow, humidity >> wet, unmodified fast flowing streams, woodland habitat, woodland stream			Arthropoda, Marchantiophyta, Plantae	Lispocephala		verna		Lispocephala verna
8694	Lispocephala vitripennis		Muscidae	Diptera	4	Notable; pNS	pLC; pNS; [Scarce]	GB Rarity listing (1); IUCN Threat listing (1); [GB Rarity listing] (1)	predator	predator	tree-associated; wetland	running water; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, flow >> fast flow, humidity >> wet, unmodified fast flowing streams, woodland habitat, woodland stream		coarse woody debris: c	Arthropoda, Marchantiophyta, Plantae	Lispocephala		vitripennis		Lispocephala vitripennis
8695	Macrorchis meditata		Muscidae	Diptera	1				predator	predator							Macrorchis		meditata		Macrorchis meditata
8696	Neolimnophora virgo		Muscidae	Diptera	8	pDD	pDD	IUCN Threat listing (1)	predator	predator	coastal; open habitats	saltmarsh; sandy beach	saline silt			Animalia	Neolimnophora		virgo		Neolimnophora virgo
8697	Orchisia costata		Muscidae	Diptera	4	pNS; pNT	pNS; pNT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal; open habitats	brackish pools & ditches; saltmarsh; sandy beach; short sward & bare ground	brackish dune slacks, freshwater seepages, habitats >> exposed sand, saline silt, soil type >> sand	F111	soft rock cliff: 3	Arthropoda, Phragmites australis	Orchisia		costata		Orchisia costata
8698	Phaonia fusca		Muscidae	Diptera	4	pNS; pNT	pNS; pNT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal; open habitats	saltmarsh	saltmarsh vegetation			Arthropoda, Phragmites	Phaonia		fusca		Phaonia fusca
8699	Pseudocoenosia abnormis		Muscidae	Diptera	1				predator	predator	wetland	acid & sedge peats	base status >> acid, sphagnum/moss lawn				Pseudocoenosia		abnormis		Pseudocoenosia abnormis
8700	Pseudocoenosia solitaria		Muscidae	Diptera	1				predator	predator	wetland	acid & sedge peats	base status >> acid				Pseudocoenosia		solitaria		Pseudocoenosia solitaria
8701	Spilogona aerea		Muscidae	Diptera					predator	predator	coastal	saltmarsh	tidal litter			Arthropoda	Spilogona		aerea		Spilogona aerea
8702	Spilogona alpica		Muscidae	Diptera	4	pNS; pNT	pNS; pNT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats	tall sward & scrub; upland	habitats >> snow bed, habitats >> unknown, soil humidity >> damp	F003, F221		Arthropoda	Spilogona		alpica		Spilogona alpica
8703	Spilogona biseriata		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal	brackish pools & ditches; saltmarsh	saline silt	M311		Algae, Arthropoda	Spilogona		biseriata		Spilogona biseriata
8704	Spilogona depressiuscula		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats	tall sward & scrub; upland	habitats >> snow bed, habitats >> unknown, soil humidity >> damp	F003, F221		Arthropoda	Spilogona		depressiuscula		Spilogona depressiuscula
8705	Spilogona litorea		Muscidae	Diptera	4	pNS; pNT	pNS; pNT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> damp, woodland habitat			Arthropoda, Plantae	Spilogona		litorea		Spilogona litorea
8706	Spilogona marina		Muscidae	Diptera	1				predator	predator	coastal	brackish pools & ditches; saltmarsh	tidal litter			Arthropoda	Spilogona		marina		Spilogona marina
8707	Spilogona scutulata		Muscidae	Diptera	4	pNS; pNT	pNS; pNT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	coastal; wetland	brackish pools & ditches; marshland; running water; saltmarsh	drawdown zone: mud/shallow litter, tidal litter			Arthropoda	Spilogona		scutulata		Spilogona scutulata
8708	Spilogona septemnotata		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	wetland	marshland; running water	drawdown zone: mud/shallow litter			Arthropoda	Spilogona		septemnotata		Spilogona septemnotata
8709	Spilogona setigera		Muscidae	Diptera	4	Notable; pNS; pNT	pNS; pNT; [Scarce]	GB Rarity listing (1); IUCN Threat listing (1); [GB Rarity listing] (1)	predator	predator	wetland	marshland; running water	drawdown zone: mud/shallow litter			Arthropoda	Spilogona		setigera		Spilogona setigera
8710	Spilogona triangulifera		Muscidae	Diptera	4	pNS	pLC; pNS	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats	tall sward & scrub; upland	habitats >> snow bed, soil humidity >> damp	F003, F221		Arthropoda	Spilogona		triangulifera		Spilogona triangulifera
8711	Spilogona trianguligera		Muscidae	Diptera	4	pNS; pNT	pNS; pNT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats	tall sward & scrub; upland	habitats >> snow bed, soil humidity >> damp	F003, F221		Arthropoda	Spilogona		trianguligera		Spilogona trianguligera
8712	Spilogona trigonata		Muscidae	Diptera	1				predator	predator	open habitats; wetland	acid & sedge peats; tall sward & scrub; upland	soil humidity >> wet	F003, F221		Arthropoda	Spilogona		trigonata		Spilogona trigonata
8713	Spilogona veterrima		Muscidae	Diptera					predator	predator	coastal	brackish pools & ditches; saltmarsh				Arthropoda	Spilogona		veterrima		Spilogona veterrima
8714	Hormopeza obliterata		Ragadidae	Diptera	32	CR; NR	CR; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator							Hormopeza		obliterata		Hormopeza obliterata
8715	Ragas unica		Ragadidae	Diptera	1				predator	predator							Ragas		unica		Ragas unica
8716	Agria mamillata		Sarcophagidae	Diptera	4	pNS; pNT	pNS; pNT	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Prunus, Yponomeuta	Agria		mamillata		Agria mamillata
8717	Ceratinostoma ostiorum		Scathophagidae	Diptera	1				predator	predator	coastal	brackish pools & ditches; rocky shore; saline lagoon; saltmarsh; sandy beach	saline silt, tidal litter				Ceratinostoma		ostiorum		Ceratinostoma ostiorum
8718	Cleigastra apicalis		Scathophagidae	Diptera	1				saprophagous	predator	wetland	acid & sedge peats; marshland	wetland vegetation				Cleigastra		apicalis		Cleigastra apicalis
8719	Cordilura aemula		Scathophagidae	Diptera	8	RDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	predator	wetland	acid & sedge peats	wetland vegetation	W314	acid mire: C	Carex paniculata	Cordilura		aemula		Cordilura aemula
8720	Cordilura atrata		Scathophagidae	Diptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	herbivore	predator	wetland	acid & sedge peats	wetland vegetation		acid mire: C	Carex	Cordilura		atrata		Cordilura atrata
8721	Cordilura ciliata		Scathophagidae	Diptera	1				herbivore	predator	tree-associated; wetland	acid & sedge peats; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, humidity >> wet, shadiness >> heavy shade, wetland vegetation			Carex, Fagus, Quercus	Cordilura		ciliata		Cordilura ciliata
8722	Cordilura impudica		Scathophagidae	Diptera	1				herbivore	predator	wetland	acid & sedge peats	wetland vegetation			Carex	Cordilura		impudica		Cordilura impudica
8723	Cordilura picipes		Scathophagidae	Diptera	8	RDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	predator	wetland	acid & sedge peats	wetland vegetation			Carex	Cordilura		picipes		Cordilura picipes
8724	Cordilura picticornis		Scathophagidae	Diptera	8	RDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	predator	wetland	acid & sedge peats	wetland vegetation			Carex	Cordilura		picticornis		Cordilura picticornis
8725	Cordilura pubera		Scathophagidae	Diptera	1				herbivore	predator	wetland	acid & sedge peats	wetland vegetation			Carex	Cordilura		pubera		Cordilura pubera
8726	Cordilura pudica		Scathophagidae	Diptera	1				herbivore	predator	wetland	acid & sedge peats	base status >> acid, wetland vegetation			Carex	Cordilura		pudica		Cordilura pudica
8727	Cordilura rufimana		Scathophagidae	Diptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	herbivore	predator	wetland	acid & sedge peats	base status >> acid, sphagnum/moss lawn, wet/damp peat		acid mire: C	Carex	Cordilura		rufimana		Cordilura rufimana
8728	Cordilura ustulata		Scathophagidae	Diptera	16	RDB 1	[Threat]	[IUCN Threat listing] (1)	herbivore	predator	wetland	acid & sedge peats	wetland vegetation	W314	acid mire: A	Carex	Cordilura		ustulata		Cordilura ustulata
8729	Gimnomera tarsea		Scathophagidae	Diptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	herbivore	predator	wetland	acid & sedge peats	wetland vegetation			Pedicularis palustris	Gimnomera		tarsea		Gimnomera tarsea
8730	Gonatherus planiceps		Scathophagidae	Diptera	8	RDB 3	[Rare]	[GB Rarity listing] (1)		predator	wetland	acid & sedge peats	base status >> acid, sphagnum/moss lawn, wet/damp peat	W312	acid mire: B		Gonatherus		planiceps		Gonatherus planiceps
8731	Hydromyza livens		Scathophagidae	Diptera	1				herbivore	predator	wetland	marshland; running water	flow >> slow flow	W125		Nymphaeaceae	Hydromyza		livens		Hydromyza livens
8732	Microprosopa pallidicauda		Scathophagidae	Diptera	8	RDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	predator	wetland	acid & sedge peats	wetland vegetation			Carex, Scirpus	Microprosopa		pallidicauda		Microprosopa pallidicauda
8733	Pogonota barbata		Scathophagidae	Diptera	1				predator	predator	wetland	acid & sedge peats	base status >> acid, sphagnum/moss lawn, wet/damp peat			Arthropoda	Pogonota		barbata		Pogonota barbata
8734	Scathophaga decipiens		Scathophagidae	Diptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	herbivore	predator	tree-associated; wetland	acid & sedge peats; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, humidity >> wet, shadiness >> heavy shade, wetland vegetation			Carex, Fagus, Quercus	Scathophaga		decipiens		Scathophaga decipiens
8735	Scathophaga furcata		Scathophagidae	Diptera	1				coprophagous	predator	open habitats; wetland	running water; tall sward & scrub; upland	dung & carrion >> dung, soil humidity >> damp			Ovis aries	Scathophaga		furcata		Scathophaga furcata
8736	Scathophaga inquinata		Scathophagidae	Diptera	1				coprophagous	predator	open habitats; wetland	running water; tall sward & scrub; upland	dung & carrion >> dung, soil humidity >> damp			Mammalia	Scathophaga		inquinata		Scathophaga inquinata
8737	Scathophaga lutaria		Scathophagidae	Diptera	1				coprophagous	predator	open habitats; tree-associated; wetland	running water; shaded woodland floor; tall sward & scrub	conifer or broadleaved >> broadleaved only, dung & carrion >> dung, humidity >> damp, shadiness >> heavy shade, soil humidity >> damp			Betula, Mammalia	Scathophaga		lutaria		Scathophaga lutaria
8738	Scathophaga obscura		Scathophagidae	Diptera	1				parasitoid	predator	wetland	acid & sedge peats; marshland; running water	shallow freshwater pond >> aquatic: well vegetated, wetland vegetation			Limnephilidae	Scathophaga		obscura		Scathophaga obscura
8739	Scathophaga pictipennis		Scathophagidae	Diptera	8	RDB 3	[Rare]	[GB Rarity listing] (1)	coprophagous	predator	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> damp			Cervidae	Scathophaga		pictipennis		Scathophaga pictipennis
8740	Scathophaga stercoraria		Scathophagidae	Diptera	1				predator	predator	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> damp			Bos, Diptera	Scathophaga		stercoraria		Scathophaga stercoraria
8741	Scathophaga suilla		Scathophagidae	Diptera	1				coprophagous;predator	predator	open habitats; wetland	running water; tall sward & scrub	dung & carrion >> dung, habitats >> unknown				Scathophaga		suilla		Scathophaga suilla
8742	Scathophaga tinctinervis		Scathophagidae	Diptera	8	RDB 2	[Threat]	[IUCN Threat listing] (1)	herbivore	predator	wetland	acid & sedge peats	wetland vegetation	W314		Carex	Scathophaga		tinctinervis		Scathophaga tinctinervis
8743	Scatomyza scybalaria		Scathophagidae	Diptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	coprophagous	predator	open habitats; wetland	running water; tall sward & scrub	base status >> acidic, dung & carrion >> dung, soil humidity >> damp			Bos	Scatomyza		scybalaria		Scatomyza scybalaria
8744	Spaziphora hydromyzina		Scathophagidae	Diptera	1				herbivore	predator	wetland	acid & sedge peats; marshland				Nuphar	Spaziphora		hydromyzina		Spaziphora hydromyzina
8745	Trichopalpus fraternus		Scathophagidae	Diptera	1					predator	wetland	acid & sedge peats					Trichopalpus		fraternus		Trichopalpus fraternus
8746	Trichopalpus punctipes		Scathophagidae	Diptera	1					predator	wetland	acid & sedge peats					Trichopalpus		punctipes		Trichopalpus punctipes
8747	Henia brevis		Dignathodontidae	Geophilomorpha	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	predator	predator	open habitats	tall sward & scrub	base status >> acidic, habitats >> litter & ground layer, soil humidity >> dry	F003			Henia		brevis		Henia brevis
