organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act
NBNORG0000125447	NHMSYS0000364730	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Punctelia	Punctelia subrudecta s. str.	(Nyl.) Krog	Species			Y																																								
NBNORG0000133692	NHMSYS0021554239	Chromista	Oomycota	Peronosporea	Albuginales	Albuginaceae	Pustula	Pustula obtusata s. lat.	(Link) C. Rost	Species			Y																																								
NBNORG0000133693	NHMSYS0021554244	Chromista	Oomycota	Peronosporea	Albuginales	Albuginaceae	Pustula	Pustula obtusata s. str.	(Link) C. Rost	Species	Albugo tragopogonis;Albugo tragopogonis var. inulae;Albugo tragopogonis var. tragopogonis;Cystopus cubicus;Cystopus tragopogonis;Pustula tragopogonis;Uredo candida β tragopogi;Uredo candida β tragopogonis;Uredo tragopogonis		Y																																								
NBNORG0000122887	NHMSYS0021168929	Animalia	Chordata	Actinopterygii	Characiformes	Serrasalmidae	Pygocentrus	Pygocentrus sp. (natterei)		Species		Y	Y	Y			Y																																				
NBNORG0000136244	NHMSYS0021811526	Animalia	Arthropoda	Arachnida	Araneae	Pholcidae	Quamtana	Quamtana sp. ZFMK Ar 24490 aff. lotzi		Species		Y	Y																																								
NBNORG0000048715	NHMSYS0000068082	Animalia	Platyhelminthes	Cestoda	Cyclophyllidea	Davaineidae	Raillietina	Raillietina ? brevicollis	(Frölich, 1802)	Species																																											
NBNORG0000136584	NHMSYS0021835626	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Ramariopsis	Ramariopsis kunzei s. str.	(Fr.) Corner	Species			Y																																								
NBNORG0000131958	NHMSYS0021294279	Animalia	Arthropoda	Arachnida	Trombidiformes	Rhagidiidae	Rhagidia	Rhagidia halophila (species inquierenda)	(Laboulb. 1851)	Species			Y																																								
NBNORG0000116343	NHMSYS0021123627	Animalia	Mollusca	Gastropoda		Rhodopidae	Rhodope	Rhodope cf. veranii		Species					Y																																						
NBNORG0000048126	NHMSYS0000067115	Chromista	Foraminifera	Globothalamea	Rotaliida	Rosalinidae	Rosalina	Rosalina cf. bradyi	(Cushman, 1915)	Species																																											
NBNORG0000123346	NHMSYS0021180003	Animalia	Mollusca	Gastropoda	Nudibranchia	Trinchesiidae	Rubramoena	"Rubramoena sp. ""Newlyn Fenwick A"""		Species					Y																																						
