TAXON_GROUP_NAME	TAXON_LIST_KEY	TAXON_LIST_VERSION_KEY	TAXON_LIST_ITEM_KEY	PARENT	TAXON_VERSION_KEY	PREFERRED_NAME	SORT_CODE	LST_ITM_CODE	TAXON_RANK_KEY	LONG_NAME	ITEM_NAME	AUTHORITY	ATTRIBUTE	LANGUAGE	NOTE	CHANGED_BY	CHANGED_DATE	DELETED_DATE
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170945		NBNSYS0000027451	NHMSYS0021170945			NBNSYS0000000028	Species	Psectrocladius fennicus	Storå, 1939		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170946		NBNSYS0000027452	NHMSYS0021170946			NBNSYS0000000028	Species	Psectrocladius limbatellus	(Holmgren, 1869)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170941		NBNSYS0000027447	NHMSYS0021170941			NBNSYS0000000028	Species	Psectrocladius obvius	(Walker, 1856)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172519		NBNSYS0100004897	NHMSYS0021172519			NBNSYS0000000028	Species	Psectrocladius octomaculatus	Wülker, 1956		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172520		NBNSYS0100004898	NHMSYS0021172520			NBNSYS0000000028	Species	Psectrocladius oligosetus	Wülker, 1956		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172521		NBNSYS0100004899	NHMSYS0021172521			NBNSYS0000000028	Species	Psectrocladius oxyura	Langton, 1985		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170942		NBNSYS0000027448	NHMSYS0021170942			NBNSYS0000000028	Species	Psectrocladius platypus	(Edwards, 1929)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170947		NBNSYS0000027453	NHMSYS0021170947			NBNSYS0000000028	Species	Psectrocladius psilopterus	(Kieffer in Kieffer & Thienemann, 1906)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172522		NBNSYS0100004900	NHMSYS0021172522			NBNSYS0000000028	Species	Psectrocladius schlienzi	Wülker, 1956		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170948		NBNSYS0000027454	NHMSYS0021170948			NBNSYS0000000028	Species	Psectrocladius sordidellus	(Zetterstedt, [1838])		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172523		NBNSYS0100004901	NHMSYS0021172523			NBNSYS0000000028	Species	Psectrocladius ventricosus	Kieffer, 1925		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021173714		NHMSYS0000079556	NHMSYS0021173714			NBNSYS0000000022	Genus	Psectrotanypus	Kieffer, 1909		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021173713		NHMSYS0000842263	NHMSYS0021173713			NBNSYS0000000023	Subgenus	Psectrotanypus	Kieffer, 1909		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172524		NBNSYS0100004902	NHMSYS0021172524			NBNSYS0000000028	Species	Psectrotanypus varius	(Fabricius, 1787)		la		NHMSYS0020970929	15/06/2017	
mollusc	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021175217		NHMSYS0001702182	NHMSYS0021175217			NBNSYS0000000022	Genus	Pseudanodonta	Bourguignat, 1877		la		NHMSYS0020970929	15/06/2017	
mollusc	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174148		NHMSYS0000336867	NHMSYS0021174148			NBNSYS0000000028	Species	Pseudanodonta complanata	(Rossmässler, 1835)		la		NHMSYS0020970929	15/06/2017	
moss	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174029		NHMSYS0000310497	NHMSYS0021174029			NBNSYS0000000028	Species	Pseudephemerum nitidum	(Hedw.) Loeske		la		NHMSYS0020970929	15/06/2017	
moss	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174030		NHMSYS0000310499	NHMSYS0021174030			NBNSYS0000000028	Species	Pseudobryum cinclidioides	(Huebener) T.J.Kop.		la		NHMSYS0020970929	15/06/2017	
moss	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176755		NHMSYS0021008429	NHMSYS0021176755			NBNSYS0000000028	Species	Pseudocalliergon lycopodioides	(Brid.) Hedenäs		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021175084		NHMSYS0001593854	NHMSYS0021175084			NBNSYS0000000022	Genus	Pseudocandona	Kaufmann, 1900		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174140		NHMSYS0000322448	NHMSYS0021174140			NBNSYS0000000028	Species	Pseudocandona albicans	(Brady, 1864)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021173324		NBNSYS0100014876	NHMSYS0021173324			NBNSYS0000000028	Species	Pseudocandona elongata	Holmes		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021175085		NHMSYS0001593855	NHMSYS0021175085			NBNSYS0000000028	Species	Pseudocandona insculpta	(G. W. Müller, 1900)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174141		NHMSYS0000322451	NHMSYS0021174141			NBNSYS0000000028	Species	Pseudocandona marchica	(Hartwig, 1899)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174142		NHMSYS0000322452	NHMSYS0021174142			NBNSYS0000000028	Species	Pseudocandona pratensis	(Hartwig, 1901)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174143		NHMSYS0000322453	NHMSYS0021174143			NBNSYS0000000028	Species	Pseudocandona rostrata	(Brady & Norman, 1889)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174144		NHMSYS0000322454	NHMSYS0021174144			NBNSYS0000000028	Species	Pseudocandona sarsi	(Hartwig, 1899)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021174145		NHMSYS0000322455	NHMSYS0021174145			NBNSYS0000000028	Species	Pseudocandona stagnalis	(Sars, 1890)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021173715		NHMSYS0000079557	NHMSYS0021173715			NBNSYS0000000022	Genus	Pseudochironomus	Malloch, 1915		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172525		NBNSYS0100004907	NHMSYS0021172525			NBNSYS0000000028	Species	Pseudochironomus prasinatus	(Staeger, 1839)		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021175086		NHMSYS0001593856	NHMSYS0021175086			NBNSYS0000000022	Genus	Pseudochydorus	Fryer, 1968		la		NHMSYS0020970929	15/06/2017	
crustacean	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021175087		NHMSYS0001593857	NHMSYS0021175087			NBNSYS0000000028	Species	Pseudochydorus globosus	(Baird, 1843)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171767		NBNSYS0000137006	NHMSYS0021171767			NBNSYS0000000022	Genus	Pseudodiamesa	Goetghebuer, 1939		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170877		NBNSYS0000027368	NHMSYS0021170877			NBNSYS0000000028	Species	Pseudodiamesa branickii	(Nowicki, 1873)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021170878		NBNSYS0000027369	NHMSYS0021170878			NBNSYS0000000028	Species	Pseudodiamesa nivosa	(Goetghebuer, 1928)		la		NHMSYS0020970929	15/06/2017	
acarine (Acari)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176433		NHMSYS0020703498	NHMSYS0021176433			NBNSYS0000000022	Genus	Pseudofeltria	Soar, 1904		la		NHMSYS0020970929	15/06/2017	
acarine (Acari)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176434		NHMSYS0020703499	NHMSYS0021176434			NBNSYS0000000028	Species	Pseudofeltria scourfieldi	Soar, 1904		la		NHMSYS0020970929	15/06/2017	
acarine (Acari)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021176675		NHMSYS0020930853	NHMSYS0021176675			NBNSYS0000000022	Genus	Pseudohydryphantes	K. H. Viets, 1907		la		NHMSYS0020970929	15/06/2017	
acarine (Acari)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021173325		NBNSYS0100014888	NHMSYS0021173325			NBNSYS0000000028	Species	Pseudohydryphantes parvulus	Viets		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021173685		NHMSYS0000079342	NHMSYS0021173685			NBNSYS0000000022	Genus	Pseudokiefferiella	Zavrel, 1941	unavailable	la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021172526		NBNSYS0100004914	NHMSYS0021172526			NBNSYS0000000028	Species	Pseudokiefferiella parva	(Edwards, 1932)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021171768		NBNSYS0000137020	NHMSYS0021171768			NBNSYS0000000022	Genus	Pseudolimnophila	Alexander, 1919		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021169986		NBNSYS0000008143	NHMSYS0021169986			NBNSYS0000000028	Species	Pseudolimnophila lucorum	(Meigen, 1818)		la		NHMSYS0020970929	15/06/2017	
insect - true fly (Diptera)	NHMSYS0021169183	NHMSYS0021169184	NHMSYS0021169987		NBNSYS0000008144	NHMSYS0021169987			NBNSYS0000000028	Species	Pseudolimnophila sepium	(Verrall, 1886)		la		NHMSYS0020970929	15/06/2017	
