For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act
insect - caddis fly (Trichoptera)	Ecclisopteryx dalecarlica	Kolenati, 1848		NHMSYS0021008755										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Ecnomus tenellus	(Rambur, 1842)		NBNSYS0000008397										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Enoicyla pusilla	(Burmeister, 1839)		NBNSYS0000008445										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Ernodes articularis	(Pictet, 1834)		NBNSYS0000008504										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Erotesis baltica	McLachlan, 1877		NBNSYS0000008530										RedList_GB_post2001-VU			NR-includes											
insect - caddis fly (Trichoptera)	Glossosoma boltoni	Curtis, 1834		NBNSYS0000008343										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Glossosoma conformis	Neboiss, 1963		NBNSYS0000008344										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Glossosoma intermedium	(Klapalek, 1892)		NBNSYS0000008345										RedList_GB_post2001-CR			NR-includes		BAP-2007	England_NERC_S.41								
insect - caddis fly (Trichoptera)	Glyphotaelius pellucidus	(Retzius, 1783)		NBNSYS0000008463										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Goera pilosa	(Fabricius, 1775)		NHMSYS0020704791										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Grammotaulius nigropunctatus	(Retzius, 1783)		NBNSYS0000008464										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Grammotaulius nitidus	(Müller, 1764)		NHMSYS0020704793										RedList_GB_post2001-NT			NR-includes											
insect - caddis fly (Trichoptera)	Hagenella clathrata	(Kolenati, 1848)		NBNSYS0000008428										RedList_GB_post2001-EN			NR-includes		BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7						
insect - caddis fly (Trichoptera)	Halesus digitatus	(Schrank, 1781)		NBNSYS0000008446										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Halesus radiatus	(Curtis, 1834)		NBNSYS0000008447										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Holocentropus dubius	(Rambur, 1842)		NBNSYS0000008402										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Holocentropus picicornis	(Stephens, 1836)		NBNSYS0000008403										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Holocentropus stagnalis	(Albarda, 1874)		NBNSYS0000008404										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Hydatophylax infumatus	(McLachlan, 1865)		NBNSYS0000008448										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Hydropsyche angustipennis	(Curtis, 1834)		NBNSYS0000008413										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Hydropsyche bulgaromanorum	Malicky, 1977		NBNSYS0000008414										RedList_GB_post2001-CR			NR-includes		BAP-2007	England_NERC_S.41								
insect - caddis fly (Trichoptera)	Hydropsyche contubernalis	McLachlan, 1865		NBNSYS0000008415										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Hydropsyche exocellata	Dufour, 1841		NBNSYS0000008416										RedList_GB_post2001-CR(PE)			NR-includes											
insect - caddis fly (Trichoptera)	Hydropsyche fulvipes	(Curtis, 1834)		NBNSYS0000008417										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Hydropsyche instabilis	(Curtis, 1834)		NBNSYS0000008418										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Hydropsyche pellucidula	(Curtis, 1834)		NBNSYS0000008419										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Hydropsyche saxonica	McLachlan, 1884		NBNSYS0000008420										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Hydropsyche siltalai	Doehler, 1963		NBNSYS0000008421										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Hydroptila angulata	Mosely, 1922		NBNSYS0000008352										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Hydroptila cornuta	Mosely, 1922		NBNSYS0000008353										RedList_GB_post2001-VU			NR-includes											
insect - caddis fly (Trichoptera)	Hydroptila forcipata	(Eaton, 1873)		NBNSYS0000008354										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Hydroptila lotensis	Mosely, 1930		NBNSYS0000008355										RedList_GB_post2001-NT			NR-includes											
insect - caddis fly (Trichoptera)	Hydroptila martini	Marshall, 1977		NBNSYS0000008356										RedList_GB_post2001-DD			NS-includes											
insect - caddis fly (Trichoptera)	Hydroptila occulta	(Eaton, 1873)		NBNSYS0000008357										RedList_GB_post2001-DD			NS-includes											
insect - caddis fly (Trichoptera)	Hydroptila pulchricornis	Pictet, 1834		NBNSYS0000008358										RedList_GB_post2001-DD			NS-includes											
insect - caddis fly (Trichoptera)	Hydroptila simulans	Mosely, 1920		NBNSYS0000008359										RedList_GB_post2001-DD			NS-includes											
insect - caddis fly (Trichoptera)	Hydroptila sparsa	Curtis, 1834		NBNSYS0000008360										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Hydroptila sylvestris	Morton, 1898		NBNSYS0000008361										RedList_GB_post2001-DD			NR-includes											
insect - caddis fly (Trichoptera)	Hydroptila tigurina	Ris, 1894		NBNSYS0000008362										RedList_GB_post2001-DD			NR-includes											
insect - caddis fly (Trichoptera)	Hydroptila tineoides	Dalman, 1819		NBNSYS0000008363										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Hydroptila valesiaca	Schmid, 1947		NBNSYS0000008364										RedList_GB_post2001-DD			NR-includes											
insect - caddis fly (Trichoptera)	Hydroptila vectis	Curtis, 1834		NBNSYS0000008365										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Ironoquia dubia	(Stephens, 1837)		NBNSYS0000008437										RedList_GB_post2001-CR			NR-includes		BAP-2007	England_NERC_S.41								
insect - caddis fly (Trichoptera)	Ithytrichia clavata	Morton, 1905		NBNSYS0000008375										RedList_GB_post2001-DD			NR-includes											
insect - caddis fly (Trichoptera)	Ithytrichia lamellaris	Eaton, 1873		NBNSYS0000008376										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Lepidostoma basale	(Kolenati, 1848)		NHMSYS0021008795										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Lepidostoma hirtum	(Fabricius, 1775)		NHMSYS0020704804										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Leptocerus interruptus	(Fabricius, 1775)		NHMSYS0020442420										RedList_GB_post2001-VU			NR-includes											
insect - caddis fly (Trichoptera)	Leptocerus lusitanicus	(McLachlan, 1884)		NBNSYS0000008523										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Leptocerus tineiformis	Curtis, 1834		NBNSYS0000008524										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus affinis	Curtis, 1834		NBNSYS0000008466										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus auricula	Curtis, 1834		NBNSYS0000008467										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus binotatus	Curtis, 1834		NBNSYS0000008468										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Limnephilus bipunctatus	Curtis, 1834		NBNSYS0000008469										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Limnephilus borealis	(Zetterstedt, 1840)		NBNSYS0000008470										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Limnephilus centralis	Curtis, 1834		NBNSYS0000008471										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus coenosus	Curtis, 1834		NBNSYS0000008472										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus decipiens	(Kolenati, 1848)		NBNSYS0000008473										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus elegans	Curtis, 1834		NBNSYS0000008474										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Limnephilus extricatus	McLachlan, 1865		NBNSYS0000008475										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus flavicornis	(Fabricius, 1787)		NHMSYS0020704807										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus fuscicornis	(Rambur, 1842)		NBNSYS0000008477										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Limnephilus griseus	(Linnaeus, 1758)		NBNSYS0000008479										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Limnephilus hirsutus	(Pictet, 1834)		NBNSYS0000008480										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Limnephilus ignavus	McLachlan, 1865		NBNSYS0000008481										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Limnephilus incisus	Curtis, 1834		NBNSYS0000008482										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus lunatus	Curtis, 1834		NBNSYS0000008483										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus luridus	Curtis, 1834		NBNSYS0000008484										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus marmoratus	Curtis, 1834		NBNSYS0000008485										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus nigriceps	(Zetterstedt, 1840)		NBNSYS0000008486										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Limnephilus pati	O'Connor, 1980		NBNSYS0000008487										RedList_GB_post2001-CR(PE)			NR-includes											
insect - caddis fly (Trichoptera)	Limnephilus politus	McLachlan, 1865		NBNSYS0000008488										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Limnephilus rhombicus	(Linnaeus, 1758)		NBNSYS0000008489										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus sparsus	Curtis, 1834		NBNSYS0000008490										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus stigma	Curtis, 1834		NBNSYS0000008491										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Limnephilus subcentralis	(Brauer, 1857)		NBNSYS0000008492										RedList_GB_post2001-NT			NR-includes											
insect - caddis fly (Trichoptera)	Limnephilus tauricus	Schmid, 1964		NBNSYS0000008493										RedList_GB_post2001-VU			NR-includes											
insect - caddis fly (Trichoptera)	Limnephilus vittatus	(Fabricius, 1798)		NHMSYS0020704808										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Lype phaeopa	(Stephens, 1836)		NBNSYS0000008385										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Lype reducta	(Hagen, 1868)		NBNSYS0000008386										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Melampophylax mucoreus	(Hagen, 1861)		NBNSYS0000008449										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Mesophylax aspersus	(Rambur, 1842)		NBNSYS0000008450										RedList_GB_post2001-NE														
insect - caddis fly (Trichoptera)	Mesophylax impunctatus subsp. zetlandicus	McLachlan, 1884		NBNSYS0000008453										RedList_GB_post2001-NT			NR-includes											
insect - caddis fly (Trichoptera)	Micropterna lateralis	(Stephens, 1837)		NBNSYS0000008454										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Micropterna sequax	McLachlan, 1875		NBNSYS0000008455										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Molanna albicans	(Zetterstedt, 1840)		NBNSYS0000008508										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Molanna angustata	Curtis, 1834		NBNSYS0000008509										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Mystacides azurea	(Linnaeus, 1761)		NBNSYS0000008525										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Mystacides longicornis	(Linnaeus, 1758)		NBNSYS0000008526										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Mystacides nigra	(Linnaeus, 1758)		NBNSYS0000008527										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Nemotaulius punctatolineatus	(Retzius, 1783)		NBNSYS0000008495										RedList_GB_post2001-DD			NR-includes											
insect - caddis fly (Trichoptera)	Neureclipsis bimaculata	(Linnaeus, 1758)		NBNSYS0000008405										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Notidobia ciliaris	(Linnaeus, 1761)		NBNSYS0000008505										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Odontocerum albicorne	(Scopoli, 1763)		NBNSYS0000008507										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Oecetis furva	(Rambur, 1842)		NBNSYS0000008535										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Oecetis lacustris	(Pictet, 1834)		NBNSYS0000008536										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Oecetis notata	(Rambur, 1842)		NBNSYS0000008537										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Oecetis ochracea	(Curtis, 1825)		NBNSYS0000008538										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Oecetis testacea	(Curtis, 1834)		NBNSYS0000008539										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Oligotricha striata	(Linnaeus, 1758)		NBNSYS0000008429										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Orthotrichia angustella	(McLachlan, 1865)		NBNSYS0000008377										RedList_GB_post2001-DD			NR-includes											
insect - caddis fly (Trichoptera)	Orthotrichia costalis	(Curtis, 1834)		NBNSYS0000008378										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Orthotrichia tragetti	Mosely, 1930		NBNSYS0000008379										RedList_GB_post2001-DD			NR-includes											
insect - caddis fly (Trichoptera)	Oxyethira distinctella	McLachlan, 1880		NBNSYS0000008366										RedList_GB_post2001-DD			NR-includes											
insect - caddis fly (Trichoptera)	Oxyethira falcata	Morton, 1893		NBNSYS0000008367										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Oxyethira flavicornis	(Pictet, 1834)		NBNSYS0000008368										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Oxyethira frici	Klapalek, 1891		NBNSYS0000008369										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Oxyethira mirabilis	Morton, 1904		NBNSYS0000008370										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Oxyethira sagittifera	Ris, 1897		NBNSYS0000008371										RedList_GB_post2001-DD			NR-includes											
insect - caddis fly (Trichoptera)	Oxyethira simplex	Ris, 1897		NBNSYS0000008372										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Oxyethira tristella	Klapalek, 1895		NBNSYS0000008373										RedList_GB_post2001-DD			NR-includes											
insect - caddis fly (Trichoptera)	Philopotamus montanus	(Donovan, 1813)		NBNSYS0000008380										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Phryganea bipunctata	Retzius, 1783		NBNSYS0000008430										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Phryganea grandis	Linnaeus, 1758		NBNSYS0000008431										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Plectrocnemia brevis	McLachlan, 1871		NBNSYS0000008406										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Plectrocnemia conspersa	(Curtis, 1834)		NBNSYS0000008407										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Plectrocnemia geniculata	McLachlan, 1871		NBNSYS0000008408										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Polycentropus flavomaculatus	(Pictet, 1834)		NBNSYS0000008409										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Polycentropus irroratus	(Curtis, 1835)		NBNSYS0000008410										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Polycentropus kingi	McLachlan, 1881		NBNSYS0000008411										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Potamophylax cingulatus	(Stephens, 1837)		NBNSYS0000008456										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Potamophylax latipennis	(Curtis, 1834)		NBNSYS0000008457										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Potamophylax rotundipennis	(Brauer, 1857)		NBNSYS0000008458										RedList_GB_post2001-DD			NS-includes											
insect - caddis fly (Trichoptera)	Psychomyia fragilis	(Pictet, 1834)		NHMSYS0020547806										RedList_GB_post2001-DD			NS-includes											
insect - caddis fly (Trichoptera)	Psychomyia pusilla	(Fabricius, 1781)		NHMSYS0020704831										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Rhadicoleptus alpestris	(Kolenati, 1848)		NBNSYS0000008497										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Rhyacophila dorsalis	(Curtis, 1834)		NBNSYS0000008339										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Rhyacophila fasciata	Hagen, 1859		NBNSYS0000155925										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Rhyacophila munda	McLachlan, 1862		NBNSYS0000008340										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Rhyacophila obliterata	McLachlan, 1863		NBNSYS0000008341										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Sericostoma personatum	(Spence in Kirby & Spence, 1826)		NBNSYS0000008506										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Setodes argentipunctellus	McLachlan, 1877		NBNSYS0000008540										RedList_GB_post2001-NT			NR-includes											
insect - caddis fly (Trichoptera)	Setodes punctatus	(Fabricius, 1793)		NBNSYS0000008541										RedList_GB_post2001-VU			NR-includes											
insect - caddis fly (Trichoptera)	Silo nigricornis	(Pictet, 1834)		NBNSYS0000008499										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Silo pallipes	(Fabricius, 1781)		NHMSYS0020704837										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Stenophylax permistus	McLachlan, 1895		NBNSYS0000008459										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Stenophylax vibex	(Curtis, 1834)		NBNSYS0000008460										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Synagapetus dubitans	McLachlan, 1879		NHMSYS0021008770										RedList_GB_post2001-DD			NR-includes											
insect - caddis fly (Trichoptera)	Tinodes assimilis	McLachlan, 1865		NBNSYS0000008389										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Tinodes dives	(Pictet, 1834)		NBNSYS0000008390										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Tinodes maclachlani	Kimmins, 1966		NBNSYS0000008391										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Tinodes pallidulus	McLachlan, 1878		NBNSYS0000008393										RedList_GB_post2001-VU			NR-includes											
insect - caddis fly (Trichoptera)	Tinodes rostocki	McLachlan, 1878		NBNSYS0000008394										RedList_GB_post2001-LC			NR-includes											
insect - caddis fly (Trichoptera)	Tinodes unicolor	(Pictet, 1834)		NBNSYS0000008395										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Tinodes waeneri	(Linnaeus, 1758)		NBNSYS0000008396										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Triaenodes bicolor	(Curtis, 1834)		NBNSYS0000008531										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Triaenodes ochreellus	McLachlan, 1877		NHMSYS0021160270										RedList_GB_post2001-DD			NR-includes											
insect - caddis fly (Trichoptera)	Tricholeiochiton fagesii	(Guinard, 1879)		NBNSYS0000008374										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Trichostegia minor	(Curtis, 1834)		NBNSYS0000008432										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Wormaldia mediana	McLachlan, 1878		NBNSYS0000008381										RedList_GB_post2001-DD			NR-includes											
insect - caddis fly (Trichoptera)	Wormaldia occipitalis	(Pictet, 1834)		NBNSYS0000008382										RedList_GB_post2001-LC														
insect - caddis fly (Trichoptera)	Wormaldia subnigra	McLachlan, 1865		NBNSYS0000008383										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Ylodes conspersus	(Rambur, 1842)		NBNSYS0000008532										RedList_GB_post2001-LC			NS-includes											
insect - caddis fly (Trichoptera)	Ylodes reuteri	(McLachlan, 1880)		NBNSYS0000008533										RedList_GB_post2001-VU			NR-includes											
insect - caddis fly (Trichoptera)	Ylodes simulans	(Tjeder, 1929)		NBNSYS0000008534										RedList_GB_post2001-NT			NR-includes											
insect - cockroach (Dictyoptera)	Blatta orientalis	Linnaeus, 1758		NBNSYS0000006854										RedList_GB_post2001-NE														
insect - cockroach (Dictyoptera)	Blattella germanica	(Linnaeus, 1767)		NBNSYS0000006856										RedList_GB_post2001-NE														
insect - cockroach (Dictyoptera)	Ectobius lapponicus	(Linnaeus, 1758)		NHMSYS0001387299										RedList_GB_post2001-LC			NS-includes											
insect - cockroach (Dictyoptera)	Ectobius pallidus	(Olivier, 1789)		NHMSYS0001387300										RedList_GB_post2001-LC			NS-includes											
insect - cockroach (Dictyoptera)	Loboptera decipiens	(Germar, 1817)		NHMSYS0001693174										RedList_GB_post2001-NE														
insect - cockroach (Dictyoptera)	Nauphoeta cinerea	(Olivier, 1789)		NHMSYS0001387421										RedList_GB_post2001-NE														
insect - cockroach (Dictyoptera)	Periplaneta americana	(Linnaeus, 1758)		NBNSYS0000006852										RedList_GB_post2001-NE														
insect - cockroach (Dictyoptera)	Periplaneta australasiae	(Fabricius, 1775)		NBNSYS0000006853										RedList_GB_post2001-NE														
insect - cockroach (Dictyoptera)	Periplaneta brunnea	Burmeister, 1838		NHMSYS0001387433										RedList_GB_post2001-NE														
insect - cockroach (Dictyoptera)	Pycnoscelus surinamensis	(Linnaeus, 1758)		NBNSYS0000006855										RedList_GB_post2001-NE														
insect - cockroach (Dictyoptera)	Supella longipalpa	(Fabricius, 1798)		NBNSYS0100005632										RedList_GB_post2001-NE														
insect - dragonfly (Odonata)	Aeshna caerulea	(Strom, 1783)		NBNSYS0000005623							RedList_Global_post2001-LC			RedList_GB_post2001-VU														
insect - dragonfly (Odonata)	Aeshna cyanea	(Müller, 1764)		NBNSYS0000005626										RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Aeshna grandis	(Linnaeus, 1758)		NBNSYS0000005625							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Aeshna juncea	(Linnaeus, 1758)		NBNSYS0000005624										RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Aeshna mixta	Latreille, 1805		NBNSYS0000005627							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Anaciaeschna isoceles	(Müller, 1767)		NHMSYS0021009091							RedList_Global_post2001-LC			RedList_GB_post2001-EN					BAP-2007	England_NERC_S.41				WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.2,WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c				
insect - dragonfly (Odonata)	Anax imperator	Leach, 1815		NBNSYS0000005630							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Anax parthenope	(Selys, 1839)		NHMSYS0000344169							RedList_Global_post2001-LC																	
insect - dragonfly (Odonata)	Brachytron pratense	(Müller, 1764)		NBNSYS0000005622										RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Calopteryx splendens	(Harris, 1782)		NBNSYS0000005617							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Calopteryx virgo	(Linnaeus, 1758)		NBNSYS0000005616										RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Ceriagrion tenellum	(de Villers, 1789)		NBNSYS0000005611										RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Coenagrion armatum	(Charpentier, 1840)		NBNSYS0000005608							RedList_Global_post2001-LC			RedList_GB_post2001-RE														
insect - dragonfly (Odonata)	Coenagrion hastulatum	(Charpentier, 1825)		NBNSYS0000005607							RedList_Global_post2001-LC			RedList_GB_post2001-EN							Scottish_Biodiversity_List							
insect - dragonfly (Odonata)	Coenagrion lunulatum	(Charpentier, 1840)		NBNSYS0000005609																			NI_Priority					
insect - dragonfly (Odonata)	Coenagrion mercuriale	(Charpentier, 1840)		NBNSYS0000005603	Bern-A2				HabDir-A2*		RedList_Global_post2001-NT			RedList_GB_post2001-EN					BAP-2007	England_NERC_S.41		Env (Wales) Act S7		WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.2,WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c				
insect - dragonfly (Odonata)	Coenagrion puella	(Linnaeus, 1758)		NBNSYS0000005606										RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Coenagrion pulchellum	(Vander Linden, 1825)		NBNSYS0000005605										RedList_GB_post2001-NT														
insect - dragonfly (Odonata)	Coenagrion scitulum	(Rambur, 1842)		NBNSYS0000005604										RedList_GB_post2001-RE														
insect - dragonfly (Odonata)	Cordulegaster boltonii	(Donovan, 1807)		NBNSYS0000005621										RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Cordulia aenea	(Linnaeus, 1758)		NBNSYS0000005632							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Enallagma cyathigerum	(Charpentier, 1840)		NBNSYS0000005602							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Erythromma najas	(Hansemann, 1823)		NBNSYS0000005610										RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Gomphus vulgatissimus	(Linnaeus, 1758)		NBNSYS0000005620										RedList_GB_post2001-NT														
insect - dragonfly (Odonata)	Ischnura elegans	(Vander Linden, 1820)		NHMSYS0000344179							RedList_Global_post2001-LC			RedList_GB_post2001-LC														
insect - dragonfly (Odonata)	Ischnura pumilio	(Charpentier, 1825)		NBNSYS0000005601										RedList_GB_post2001-NT														
insect - dragonfly (Odonata)	Lestes dryas	Kirby, 1890		NBNSYS0000005614										RedList_GB_post2001-NT														
