For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act
marine mammal	Pseudorca crassidens	(Owen, 1846)		NBNSYS0000005174	Bern-A2				HabDir-A4	ECCITES-A	RedList_Global_post2001-DD										Scottish_Biodiversity_List			WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4A,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Pusa hispida	Schreber, 1775		NHMSYS0021053568	Bern-A3				HabDir-A4																	HabReg-Sch4		
marine mammal	Stenella coeruleoalba	(Meyen, 1833)		NBNSYS0000188741	Bern-A2		CMS_A2,CMS_ASCOBANS		HabDir-A4	ECCITES-A	RedList_Global_post2001-LC								BAP-2007		Scottish_Biodiversity_List	Env (Wales) Act S7		WACA-Sch5_sect9.4A,WACA-Sch5_sect9.5a		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Tursiops truncatus	(Montagu, 1821)		NBNSYS0000005179	Bern-A2		CMS_A2,CMS_ASCOBANS		HabDir-A2*,HabDir-A4	ECCITES-A	RedList_Global_post2001-LC								BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7	NI_Priority	WACA-Sch5_sect9.4A,WACA-Sch5_sect9.5a		HabReg-Sch2	ConsRegsNI-Sch2	
marine mammal	Ziphiidae	Gray, 1850		NHMSYS0021053575			CMS_ASCOBANS																					
marine mammal	Ziphius cavirostris	Cuvier, 1823		NBNSYS0000005167	Bern-A2				HabDir-A4	ECCITES-A	RedList_Global_post2001-LC								BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7		WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4A,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c		HabReg-Sch2	ConsRegsNI-Sch2	
millipede	Adenomeris gibbosa	Mauriès, 1960		NHMSYS0000356222										RedList_GB_post2001-DD			NR-includes											
millipede	Allajulus nitidus	(Verhoeff, 1891)		NHMSYS0000356224										RedList_GB_post2001-LC			NS-includes											
millipede	Amphitomeus attemsi	(Schubart, 1934)		NHMSYS0020977691										RedList_GB_post2001-NA														
millipede	Anamastigona pulchella	(Silvestri, 1898)		NHMSYS0020108462										RedList_GB_post2001-NA														
